GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village
sxk3xw,41.080627,28.811646,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34490,İstanbul,,,Marmara Bölgesi,,Yaşar Doğu Bulvarı,,İkitelli OSB Mahallesi,,Başakşehir,
sxk9nm,40.987244,29.108276,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34758,İstanbul,,,Marmara Bölgesi,,Küçükbakkalköy Bağlantısı,,Atatürk Mahallesi,,Ataşehir,
sxk9q0,41.003723,29.09729,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34707,İstanbul,,,Marmara Bölgesi,,3100. Sokak,,Mustafa Kemal Mahallesi,,Ataşehir,
sxk3hx,40.99823,28.67981,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,Beysan Sanayi Sitesi,,,,,,,,,34524,İstanbul,,,Marmara Bölgesi,,,,Yakuplu Mahallesi,,Beylikdüzü,
sx7cmx,41.042175,28.02063,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34588,İstanbul,,,Marmara Bölgesi,,Dertli Sokak,,Gümüşyaka Mahallesi,,Silivri,
sxkdtb,41.22345,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450,İstanbul,,,Marmara Bölgesi,,,,,,Sarıyer,Rumelifeneri Mahallesi
sxk90j,40.987244,28.833618,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34149,İstanbul,,,Marmara Bölgesi,,,,Yeşilköy Mahallesi,,Bakırköy,
sxkd86,41.234436,28.844604,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34076,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Eyüpsultan,Işıklar Mahallesi
sxk36u,41.025696,28.602905,TR-34,,,,,,,,Türkiye,tr,,,,,,Tabya,,,,,,,,,,,,34500,İstanbul,,,Marmara Bölgesi,,Hilal Caddesi,,19 Mayıs Mahallesi,,Büyükçekmece,
sxk3kv,41.03119,28.690796,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34510,İstanbul,,,Marmara Bölgesi,,Balina Caddesi,,İnönü Mahallesi,,Esenyurt,
sxk9j3,40.96527,29.064331,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,Raket Kulüp,,,,,,,34728,İstanbul,,,Marmara Bölgesi,,Şehit Selin Çelik Sokağı,,Caddebostan Mahallesi,,Kadıköy,
sxk1qy,41.036682,28.427124,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34534,İstanbul,,,Marmara Bölgesi,,,,Kamiloba Mahallesi,,Büyükçekmece,
sxk9t9,41.05316,29.075317,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34680,İstanbul,,,Marmara Bölgesi,,Çağdaş Sokağı,Akasya Pastanesi,Güzeltepe Mahallesi,,Üsküdar,
sxk9x3,41.05316,29.152222,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34830,İstanbul,,,Marmara Bölgesi,,,,Baklacı Mahallesi,,Beykoz,
sxk9c3,41.097107,28.88855,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34265,İstanbul,,,Marmara Bölgesi,,2875. Sokak,,Esentepe Mahallesi,,Sultangazi,
sxk3qy,41.036682,28.778687,TR-34,,Dilek Kafe,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34303,İstanbul,,,Marmara Bölgesi,Avrupa Konutları Atakent 3,Kent Meydanı,,Halkalı Merkez Mahallesi,,Küçükçekmece,
sxk9pt,40.987244,29.163208,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34779,İstanbul,,,Marmara Bölgesi,,Kahraman Sokağı,,Yeni Çamlıca Mahallesi,,Ataşehir,
sxkb9d,40.882874,29.251099,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34896,İstanbul,,,Marmara Bölgesi,,Tevfik İleri Caddesi,,Dumlupınar Mahallesi,,Pendik,
sx7cmq,41.036682,28.009644,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34588,İstanbul,,,Marmara Bölgesi,,Mümtaz Sokak,,Gümüşyaka Mahallesi,,Silivri,
sxk6ts,41.245422,28.723755,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34277,İstanbul,,,Marmara Bölgesi,,Viyadük 01,,Tayakadın Mahallesi,,Arnavutköy,
sxk409,41.141052,28.152466,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34582,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Yolçatı Mahallesi
sxkbbc,40.921326,29.21814,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34882,İstanbul,,,Marmara Bölgesi,,Mühürdar Caddesi,,Yakacık Yeni Mahallesi,,Kartal,
sxkc3u,41.025696,29.262085,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34791,İstanbul,,,Marmara Bölgesi,,Süleymaniye Caddesi,,Hilal Mahallesi,,Sancaktepe,
sxk9zr,41.130066,29.152222,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34829,İstanbul,,,Marmara Bölgesi,,Paşabahçe Polonezköy Yolu,,Örnekköy Mahallesi,,Beykoz,Zerzavatçı Mahallesi
sxk39h,41.06964,28.526001,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34537,İstanbul,,,Marmara Bölgesi,,Çatalca Yolu Caddesi,,Hürriyet Mahallesi,,Büyükçekmece,Ahmediye Mahallesi
sxk9rs,41.025696,29.163208,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34773,İstanbul,,,Marmara Bölgesi,,,,Huzur Mahallesi,,Ümraniye,
sxk9my,41.036682,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34690,İstanbul,,,Marmara Bölgesi,,,,Yavuztürk Mahallesi,,Üsküdar,
sxk1fm,41.11908,28.22937,TR-34,,,,,,,,Türkiye,tr,,,,,,Karbey Dinlenme Tesisleri,,,,,,,,,,,,34570,İstanbul,,,Marmara Bölgesi,,Avrupa Otoyolu,,,,Silivri,Alipaşa Mahallesi
sxk1rm,41.03119,28.449097,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34530,İstanbul,,,Marmara Bölgesi,,Koyuncu Sokağı,,Kumburgaz Mahallesi,,Büyükçekmece,
sxk3pk,40.98175,28.80066,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34153,İstanbul,Florya,,Marmara Bölgesi,,Avcılar Sokağı,,Şenlikköy Mahallesi,,Bakırköy,
sx7fpe,41.15204,28.10852,TR-34,,,,,,,,Türkiye,tr,,,,Tüccar Kemal'in Çiftliği,,,,,,,,,,,,,,34582,İstanbul,,,Marmara Bölgesi,,D567,,,,Silivri,Çeltik Mahallesi
sxk1w5,41.064148,28.394165,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34534,İstanbul,,,Marmara Bölgesi,,,,Celaliye Mahallesi,,Büyükçekmece,
sxk3s6,41.058655,28.668823,TR-34,,,akkoza 62,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34538,İstanbul,,,Marmara Bölgesi,,1655. Sokak,,Koza Mahallesi,,Esenyurt,
sxk981,41.05316,28.833618,TR-34,,Doğanay,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34218,İstanbul,,,Marmara Bölgesi,,Maslak Caddesi,,Demirkapı Mahallesi,,Bağcılar,
sxk9nh,40.98175,29.09729,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34750,İstanbul,Üçdutlar,,Marmara Bölgesi,,Kozyatağı O2 Bağlantısı,,Küçükbakkalköy Mahallesi,,Ataşehir,
sxk9ew,41.080627,28.987427,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34410,İstanbul,,,Marmara Bölgesi,,Güneşli Sokağı,,Harmantepe Mahallesi,,Kâğıthane,
sxk3jv,40.987244,28.734741,TR-34,,,,,,,,Türkiye,tr,Üniversite Mahallesi,,,,,,,,,,,,,,,,,34320,İstanbul,,,Marmara Bölgesi,,İskeçe Caddesi,,Gümüşpala Mahallesi,,Avcılar,
sxk93p,41.042175,28.877563,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34225,İstanbul,,,Marmara Bölgesi,,352. Sokak,,Menderes Mahallesi,,Esenler,
sxkc64,41.01471,29.273071,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34791,İstanbul,,,Marmara Bölgesi,,,,,,Sancaktepe,Paşaköy Mahallesi
sxk3kf,41.01471,28.690796,TR-34,,,,,,,,Türkiye,tr,Namık Kemal Mahallesi,,,,,,,,,,,,,,,,,34513,İstanbul,,,Marmara Bölgesi,,20. Sokak,,,,Esenyurt,
sxk9mj,41.03119,29.053345,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34676,İstanbul,,,Marmara Bölgesi,,Çayeli Sokağı,,Burhaniye Mahallesi,,Üsküdar,
sxk980,41.04767,28.833618,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34218,İstanbul,,,Marmara Bölgesi,,,,Demirkapı Mahallesi,,Bağcılar,
sxk9nd,40.970764,29.119263,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34752,İstanbul,Karakol Yolu,,Marmara Bölgesi,,Kavaklar Sokağı,,İçerenköy Mahallesi,,Ataşehir,
sxkcfk,41.113586,29.284058,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34869,İstanbul,,,Marmara Bölgesi,,,,,,Çekmeköy,Hüseyinli Mahallesi
sxk93d,41.01471,28.899536,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34173,İstanbul,Cömertkent,,Marmara Bölgesi,,Tankçı Sokağı,,Tozkoparan Mahallesi,,Güngören,
sxhzvr,40.778503,29.415894,TR-41,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,41400,Kocaeli,,,Marmara Bölgesi,,,,Abdi İpekçi Mahallesi,,Darıca,
sxkc0k,40.98175,29.196167,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34888,İstanbul,,,Marmara Bölgesi,,,,Ferhatpaşa Mahallesi,,Ataşehir,
sxk6e0,41.22345,28.613892,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Arnavutköy,Dursunköy Mahallesi
sxkc1n,40.992737,29.229126,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34887,İstanbul,,,Marmara Bölgesi,,,,Abdurrahmangazi Mahallesi,,Sancaktepe,
sxk8z4,40.92682,29.141235,TR-34,,,Girne Apartmanı,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34844,İstanbul,,,Marmara Bölgesi,,Dereçay Sokağı,,Bağlarbaşı Mahallesi,,Maltepe,
sxkdku,41.201477,29.042358,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450,İstanbul,,,Marmara Bölgesi,Basın Yayın Sitesi,Manolya Sokak,,Zekeriyaköy Mahallesi,,Sarıyer,
sxk9tp,41.08612,29.053345,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34470,İstanbul,,,Marmara Bölgesi,,Ahmet Ağa Sokağı,,Rumelihisarı Mahallesi,,Sarıyer,
sxk61z,41.17401,28.55896,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Nakkaş Kavşağı,,,,Çatalca,Nakkaş Mahallesi
sxk1ge,41.108093,28.284302,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34592,İstanbul,,,Marmara Bölgesi,,Avrupa Otoyolu,,Yeni Mahalle,,Silivri,Gazitepe Mahallesi
sxk98z,41.08612,28.866577,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34235,İstanbul,,,Marmara Bölgesi,,Eski Edirne Asfaltı,,Oruçreis Mahallesi,,Esenler,
sx7fqg,41.195984,28.075562,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Tarla Yolu,,,,Silivri,Büyük Çavuşlu Mahallesi
sxk9jn,40.992737,29.053345,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34720,İstanbul,,,Marmara Bölgesi,,Mandıra Caddesi,,Fikirtepe Mahallesi,,Kadıköy,
sxk3rq,41.036682,28.80066,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34303,İstanbul,,,Marmara Bölgesi,,,,Halkalı Merkez Mahallesi,,Küçükçekmece,
sxk3t4,41.058655,28.701782,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34325,İstanbul,,,Marmara Bölgesi,,Avrupa Otoyolu,,Yeşilkent Mahallesi,,Avcılar,
sxkbdq,40.904846,29.284058,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34906,İstanbul,,,Marmara Bölgesi,,Kuruçeşme Sokak,Beyaz İnci Çiçekçilik,Şeyhli Mahallesi,,Pendik,
sxkdmz,41.217957,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Sarıyer,Garipçe Mahallesi
sxk3rh,41.025696,28.789673,TR-34,,İsmet Aktar Mesleki ve Teknik Anadolu Lisesi,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34295,İstanbul,,,Marmara Bölgesi,,Mavi Sokağı,,Söğütlü Çeşme Mahallesi,,Küçükçekmece,
sxk1w2,41.04767,28.405151,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34534,İstanbul,,,Marmara Bölgesi,,Fırat Caddesi,,Celaliye Mahallesi,,Büyükçekmece,
sxkdsd,41.234436,29.031372,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450,İstanbul,,,Marmara Bölgesi,,,,Kumköy (Kilyos) Mahallesi,,Sarıyer,
sx7cz8,41.091614,28.10852,TR-34,,,,,,,,Türkiye,tr,,,,Yaşarbey Çiftliği,,,,,,,,,,,,,,34582,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Çeltik Mahallesi
sxk6xs,41.245422,28.811646,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34076,İstanbul,,,Marmara Bölgesi,,,,,,Eyüpsultan,İhsaniye Mahallesi
sxk9mv,41.03119,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34764,İstanbul,,,Marmara Bölgesi,,Akın Sokağı,,Tantavi Mahallesi,,Ümraniye,
sxk3g4,41.1026,28.613892,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34500,İstanbul,,,Marmara Bölgesi,,,,Karaağaç Mahallesi,,Büyükçekmece,
sxkf24,41.19049,29.18518,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34829,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Beykoz,Anadolufeneri Mahallesi
sxkbkw,40.8609,29.382935,TR-41,,,Titiz Temizlik,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34950,Kocaeli,,,Marmara Bölgesi,,Turgut Özal Caddesi,,Şekerpınar Mahallesi,,Çayırova,
sxk66k,41.201477,28.580933,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Çatalca,Nakkaş Mahallesi
sxk665,41.195984,28.569946,TR-34,,Opet,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34540,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Çatalca,Nakkaş Mahallesi
sxk323,41.009216,28.493042,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34530,İstanbul,,,Marmara Bölgesi,,,,Bahçelievler Mahallesi,,Büyükçekmece,
sxkd9f,41.234436,28.910522,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34076,İstanbul,,,Marmara Bölgesi,,Davutpaşa Caddesi,,Mithatpaşa Mahallesi,,Eyüpsultan,Çiftalan Mahallesi
sxk6mc,41.184998,28.734741,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34283,İstanbul,,,Marmara Bölgesi,,,,Mustafa Kemal Paşa Mahallesi,,Arnavutköy,
sxk6gd,41.27838,28.635864,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,D020,,,,Arnavutköy,Boyalık Mahallesi
sxk1gg,41.108093,28.295288,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34592,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Gazitepe Mahallesi
sxk3ew,41.080627,28.635864,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34522,İstanbul,,,Marmara Bölgesi,,1563. Sokak,,Akçaburgaz Mahallesi,,Esenyurt,
sxk9ev,41.075134,28.998413,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34413,İstanbul,,,Marmara Bölgesi,,Yenidere Sokağı,,Gülbahar Mahallesi,,Şişli,
sxk9tr,41.08612,29.064331,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34810,İstanbul,,,Marmara Bölgesi,,,,Anadolu Hisarı Mahallesi,,Beykoz,
sxkbbv,40.9433,29.21814,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34882,İstanbul,,,Marmara Bölgesi,,Samandıra Caddesi,,Yakacık Yeni Mahallesi,,Kartal,
sx7cmh,41.025696,27.998657,TR-34,,,,,,,,Türkiye,tr,,,Tekirdağ,,,,,,,,,,,,,,,34588,İstanbul,,,Marmara Bölgesi,,D110,,Gümüşyaka Mahallesi,,Silivri,Sultanköy Mahallesi
sxk97w,41.036682,28.987427,TR-34,,,,,Gümüşsuyu Mahallesi,,,Türkiye,tr,,,,,,Taksim AKM,,,,,,,,,,,,34437,İstanbul,Taksim,,Marmara Bölgesi,,Mete Caddesi,,Gümüşsuyu,,Beyoğlu,
sxk38e,41.064148,28.504028,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34537,İstanbul,,,Marmara Bölgesi,,Avrupa Otoyolu,,,,Çatalca,Muratbey Merkez Mahallesi
sxkc2x,41.042175,29.207153,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34788,İstanbul,,,Marmara Bölgesi,,O-7,,Merkez Mahallesi,,Çekmeköy,
sx7fr1,41.184998,28.086548,TR-34,,,,,,,,Türkiye,tr,,,,Tüccar Kemal'in Çiftliği,,,,,,,,,,,,,,34582,İstanbul,,,Marmara Bölgesi,,D567,,,,Silivri,Çeltik Mahallesi
sxkc68,41.003723,29.295044,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34916,İstanbul,,,Marmara Bölgesi,,Kurnaköy-Ömerli Yolu,,,,Pendik,Kurtdoğmuş Mahallesi
sxk3wz,41.08612,28.778687,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34480,İstanbul,,,Marmara Bölgesi,,,,Başakşehir Mahallesi,,Başakşehir,
sx7cxw,41.080627,28.10852,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34582,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Çeltik Mahallesi
sxkc09,40.96527,29.207153,TR-34,,Maltepe Açık Ceza İnfaz Kurumu,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34885,İstanbul,Ortadağ,,Marmara Bölgesi,,Derman Sokağı,,Fatih Mahallesi,,Sancaktepe,
sxk8z5,40.932312,29.141235,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34844,İstanbul,,,Marmara Bölgesi,,Şahin Sokağı,,Bağlarbaşı Mahallesi,,Maltepe,
sxk691,41.228943,28.526001,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34540,İstanbul,,,Marmara Bölgesi,,,,,,Çatalca,Örcünlü Mahallesi
sxk6wb,41.22345,28.778687,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,Bolluca,,34287,İstanbul,,,Marmara Bölgesi,,,,Bolluca Mahallesi,,Arnavutköy,
sxk9j5,40.976257,29.053345,TR-34,,,Orkide Apt.,,,,,Türkiye,tr,,,,,,,,10,,,,,,,,,,34730,İstanbul,Selamiçeşme,,Marmara Bölgesi,,Gülden Sokağı,,Göztepe Mahallesi,,Kadıköy,
sxk9d6,41.058655,28.932495,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34050,İstanbul,,,Marmara Bölgesi,,İdris Köşkü Caddesi,,Merkez Mahallesi,,Eyüpsultan,
sxk9qt,41.03119,29.119263,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34768,İstanbul,,,Marmara Bölgesi,,Üsküdar-Ümraniye TEM Bağlantı Yolu,,Saray Mahallesi,,Ümraniye,
sxk9jy,40.992737,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34704,İstanbul,,,Marmara Bölgesi,,Efsane Sokağı,,Örnek Mahallesi,,Ataşehir,
sxk9g8,41.091614,28.987427,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34398,İstanbul,,,Marmara Bölgesi,,,,Seyrantepe Mahallesi,,Kâğıthane,
sxk6ph,41.15753,28.789673,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34285,İstanbul,,,Marmara Bölgesi,,,,Boğazköy İstiklal Mahallesi,,Arnavutköy,
sxk9e2,41.04767,28.97644,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34379,İstanbul,,,Marmara Bölgesi,,Özden Sokağı,,Yayla Mahallesi,,Şişli,
sxk984,41.058655,28.833618,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34218,İstanbul,,,Marmara Bölgesi,,,,Göztepe Mahallesi,,Bağcılar,
sx7fqz,41.217957,28.075562,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34594,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Büyük Çavuşlu Mahallesi
sxk9ru,41.025696,29.174194,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34773,İstanbul,,,Marmara Bölgesi,,Aysun Sokağı,,Necip Fazıl Mahallesi,,Ümraniye,
sxk90m,40.987244,28.844604,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34158,İstanbul,,,Marmara Bölgesi,,Karanfil Sokağı,,Ataköy 7-8-9-10. Kısım Mahallesi,,Bakırköy,
sx7fr8,41.179504,28.10852,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34582,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Seymen Mahallesi
sxkcdr,41.08612,29.284058,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34794,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,Ömerli Mahallesi,,Çekmeköy,
sxk91j,40.987244,28.877563,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34145,İstanbul,,,Marmara Bölgesi,,Buhar Sokak,,Kartaltepe Mahallesi,,Bakırköy,
sxk3eq,41.080627,28.624878,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34500,İstanbul,,,Marmara Bölgesi,,,,Alkent 2000 Mahallesi,,Büyükçekmece,
sxkbsk,40.89386,29.371948,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34956,İstanbul,,,Marmara Bölgesi,,,,Orta Mahallesi,,Tuzla,
sxk9k7,41.020203,29.020386,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34672,İstanbul,,,Marmara Bölgesi,,Çavuşdere Caddesi,,Mimar Sinan Mahallesi,,Üsküdar,
sxkbs7,40.888367,29.371948,TR-34,,,,,Orhanlı Mahallesi,,,Türkiye,tr,,,,,,,,,İstanbul Deri Organize Sanayi Bölgesi,,,,,,,,,34956,İstanbul,,,Marmara Bölgesi,,OSB 7. Yol Sk.,,Orhanlı,,Tuzla,
sxk4pt,41.163025,28.460083,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Turgut Özal Caddesi,,Kaleiçi Mahallesi,,Çatalca,
sxkdsc,41.228943,29.042358,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,Baz İstasyonu,,,,,34450,İstanbul,,,Marmara Bölgesi,,Kilyos Caddesi,,Demirciköy Mahallesi,,Sarıyer,
sxk92p,41.042175,28.833618,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34212,İstanbul,,,Marmara Bölgesi,,,,Yenimahalle Mahallesi,,Bağcılar,
sxkdh6,41.146545,29.020386,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34453,İstanbul,,,Marmara Bölgesi,,Büyükdere Bahçeköy Yolu,,PTT Evleri Mahallesi,,Sarıyer,
sxk9jp,40.99823,29.053345,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34720,İstanbul,,,Marmara Bölgesi,,Güven Sokağı,,Fikirtepe Mahallesi,,Kadıköy,
sxk9p4,40.970764,29.141235,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34854,İstanbul,,,Marmara Bölgesi,,Fırat Sokağı,,Fındıklı Mahallesi,,Maltepe,
sxk3jd,40.970764,28.723755,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34315,İstanbul,,,Marmara Bölgesi,,,,Ambarlı Mahallesi,,Avcılar,
sxkc07,40.976257,29.196167,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34858,İstanbul,,,Marmara Bölgesi,,Vakit Sokağı,,Büyükbakkalköy Mahallesi,,Maltepe,
sxk999,41.05316,28.899536,TR-34,,Damla Eczanesi,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34040,İstanbul,,,Marmara Bölgesi,,Ordu Caddesi,,Kartaltepe Mahallesi,,Bayrampaşa,
sxk6mb,41.179504,28.734741,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34283,İstanbul,,,Marmara Bölgesi,,,,Arnavutköy Merkez Mahallesi,,Arnavutköy,
sxkbu7,40.932312,29.371948,TR-34,,,Millenium Park,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34959,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,Tepeören Mahallesi,,Tuzla,
