GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village
sxk6ze,41.283875,28.811646,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34076,İstanbul,,,Marmara Bölgesi,,,,,,Eyüpsultan,Akpınar Mahallesi
sxk9z5,41.108093,29.141235,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34800,İstanbul,,,Marmara Bölgesi,,Usta Sokağı,,Görele Mahallesi,,Beykoz,
sxk97g,41.020203,28.998413,TR-34,,,,İstanbul,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34668,İstanbul,,,Marmara Bölgesi,,,,Salacak Mahallesi,,,
sxkc2n,41.036682,29.18518,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34782,İstanbul,,,Marmara Bölgesi,,,,Merkez Mahallesi,,Çekmeköy,
sxkbfq,40.94879,29.284058,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34925,İstanbul,,,Marmara Bölgesi,,Abdulkadir Udeh Caddesi,,Hamidiye Mahallesi,,Sultanbeyli,
sxkdmg,41.195984,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450,İstanbul,,,Marmara Bölgesi,,,,Rumelikavağı Mahallesi,,Sarıyer,Garipçe Mahallesi
sxk1zy,41.124573,28.47107,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34540,İstanbul,,,Marmara Bölgesi,,,,Ferhatpaşa Mahallesi,,Çatalca,Çakıl Mahallesi
sxk6wm,41.250916,28.756714,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34275,İstanbul,,,Marmara Bölgesi,,,,İmrahor Mahallesi,,Arnavutköy,
sxkbd6,40.882874,29.284058,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34899,İstanbul,,,Marmara Bölgesi,,Fıstık Sk.,,Kavakpınar Mahallesi,,Pendik,
sxkdkn,41.212463,29.0094,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450,İstanbul,,,Marmara Bölgesi,,,,Uskumruköy Mahallesi,,Sarıyer,
