GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village,data_amount
sxk9sf,41.058655,29.042358,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,Galatasaray Adası,,,,,34345.0,İstanbul,,,Marmara Bölgesi,,Arnavutköy Kuruçeşme Caddesi,,Kuruçeşme Mahallesi,,Beşiktaş,,25170
sxkcen,41.080627,29.317017,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34799.0,İstanbul,,,Marmara Bölgesi,,Şile Yolu,,Ömerli Mahallesi,,Çekmeköy,,28391
sxk932,41.003723,28.88855,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34173.0,İstanbul,,,Marmara Bölgesi,,Gürpınar Sokağı,,Abdurrahman Nafiz Gürman Mahallesi,,Güngören,,28505
sxk9t1,41.05316,29.053345,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34680.0,İstanbul,,,Marmara Bölgesi,,,,Çengelköy Mahallesi,,Üsküdar,,27792
sxk6e1,41.228943,28.613892,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Arnavutköy,Yassıören Mahallesi,28473
sx7czt,41.11908,28.10852,TR-34,,,,,,,,Türkiye,tr,,,,Tüccar Kemal'in Çiftliği,,,,,,,,,,,,,,34582.0,İstanbul,,,Marmara Bölgesi,,D567,,,,Silivri,Çeltik Mahallesi,23221
sxkc4r,40.99823,29.284058,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34935.0,İstanbul,,,Marmara Bölgesi,,Özgürlük Caddesi,,Battalgazi Mahallesi,,Sultanbeyli,,28462
sxk6t4,41.234436,28.701782,TR-34,,Doğa kır lokantası,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34283.0,İstanbul,,,Marmara Bölgesi,,Fatih Caddesi,,İmrahor Mahallesi,,Arnavutköy,,28427
sxk6p3,41.141052,28.80066,TR-34,,İbn-i Haldun Üniversitesi Yerleşkesi,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34480.0,İstanbul,,,Marmara Bölgesi,,Ordu Caddesi,,Başak Mahallesi,,Başakşehir,,28493
sxk3bn,41.124573,28.482056,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Çatalca Yolu Caddesi,,Ferhatpaşa Mahallesi,,Çatalca,Muratbey Merkez Mahallesi,28132
sxk933,41.009216,28.88855,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34173.0,İstanbul,Merter,,Marmara Bölgesi,,Poyrazlı Sokağı,,Mehmet Nesih Özmen Mahallesi,,Güngören,,28386
sxk90z,40.99823,28.866577,TR-34,,,,,Bahçelievler Mahallesi,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34180.0,İstanbul,Yayla,,Marmara Bölgesi,,Komik Hasan Efendi Sokağı,,,,Bahçelievler,,28501
sxk3er,41.08612,28.624878,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34500.0,İstanbul,,,Marmara Bölgesi,,,,Alkent 2000 Mahallesi,,Büyükçekmece,,28150
