GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village,data_amount
sxk6xj,41.250916,28.789673,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34076.0,İstanbul,,,Marmara Bölgesi,,,,,,Eyüpsultan,Akpınar Mahallesi,13648
sx7cwy,41.080627,28.075562,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34580.0,İstanbul,,,Marmara Bölgesi,,,,Çanta Balaban Mahallesi,,Silivri,,19896
sxkdhx,41.17401,29.031372,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34453.0,İstanbul,,,Marmara Bölgesi,,,,Kocataş Mahallesi,,Sarıyer,,26405
sxkcvz,41.130066,29.437866,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Şile Yolu,,,,Şile,Alacalı Mahallesi,26037
sxm40u,41.15753,29.569702,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34980.0,İstanbul,,,Marmara Bölgesi,,Oğuzhan Caddesi,,,,Şile,Meşrutiyet Mahallesi,12130
sxkf2u,41.201477,29.21814,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Riva Caddesi,,,,Beykoz,Alibahadır Mahallesi,24269
sxkd7f,41.19049,28.998413,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34473.0,İstanbul,,,Marmara Bölgesi,,Bahçeköy Gümüşdere Yolu,,Bahçeköy Merkez Mahallesi,,Sarıyer,,23597
sxm40q,41.168518,29.54773,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34980.0,İstanbul,,,Marmara Bölgesi,,,,,,Şile,Kızılcaköy Mahallesi,24541
sxkdkh,41.201477,29.0094,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450.0,İstanbul,,,Marmara Bölgesi,Yaprak Mahallesi,Kuşkonmaz Sokağı,,Zekeriyaköy Mahallesi,,Sarıyer,,25335
sxm40v,41.163025,29.569702,TR-34,,,,,Kumbaba Mahallesi,,,Türkiye,tr,,,,,,Meşrutiyet Köyü Sapağı,,,,,,,,,,,,34983.0,İstanbul,,,Marmara Bölgesi,,Şile Yolu,,,,Şile,,24833
sxkf2z,41.217957,29.21814,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Manolya Sokak,,Riva Mahallesi,,Beykoz,,23157
sxkdm1,41.184998,29.053345,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450.0,İstanbul,,,Marmara Bölgesi,,,,Rumelikavağı Mahallesi,,Sarıyer,,382
sxkf2g,41.195984,29.21814,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Riva Caddesi,,,,Beykoz,Alibahadır Mahallesi,24037
sxkcvu,41.113586,29.437866,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Şile,Üvezli Mahallesi,25932
sxkc4b,40.959778,29.30603,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34930.0,İstanbul,Uzundere,,Marmara Bölgesi,,Ağrı Caddesi,,Mecidiye Mahallesi,,Sultanbeyli,Kurna Mahallesi,25607
sxkfn9,41.141052,29.470825,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Şile Yolu,,,,Şile,Üvezli Mahallesi,26055
sxkdk3,41.184998,29.020386,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450.0,İstanbul,,,Marmara Bölgesi,,,,Maden Mahallesi,,Sarıyer,,18085
sxk1rx,41.042175,28.460083,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34530.0,İstanbul,,,Marmara Bölgesi,,,,Kumburgaz Mahallesi,,Büyükçekmece,,6662
sxkdk5,41.195984,29.0094,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450.0,İstanbul,,,Marmara Bölgesi,Turunç 3 Mahallesi,1. Cadde,,Zekeriyaköy Mahallesi,,Sarıyer,,25527
sxm415,41.15204,29.580688,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34983.0,İstanbul,,,Marmara Bölgesi,,,,,,Şile,Ahmetli Mahallesi,19517
sxkd7b,41.179504,28.998413,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34473.0,İstanbul,,,Marmara Bölgesi,,Hunca Caddesi,,Bahçeköy Yeni Mahalle,,Sarıyer,,26458
sx7fvf,41.27838,28.031616,TR-59,,,,,,,,Türkiye,tr,,,Tekirdağ,,,,,,,,,,,,,,,59500.0,,,,Marmara Bölgesi,,,,Fatih Mahallesi,,Çerkezköy,,22548
sxm41s,41.15753,29.602661,TR-34,,,,,Çavuş Mahallesi,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34983.0,İstanbul,,,Marmara Bölgesi,,,,Çavuş,,Şile,,23170
sxkfp5,41.15204,29.492798,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Şile Yolu,,,,Şile,Sofular Mahallesi,24934
sxk6xk,41.245422,28.80066,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34076.0,İstanbul,,,Marmara Bölgesi,,,,,,Eyüpsultan,Akpınar Mahallesi,23023
sxkdss,41.245422,29.031372,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450.0,İstanbul,,,Marmara Bölgesi,,Tatlısu Caddesi,,Kumköy (Kilyos) Mahallesi,,Sarıyer,,10268
sxk682,41.22345,28.493042,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Çatalca,Kestanelik Mahallesi,24228
sxk3qp,41.042175,28.745728,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34510.0,İstanbul,,,Marmara Bölgesi,,,,Yarımburgaz Mahallesi,,Küçükçekmece,,15482
sxk9wc,41.05316,29.130249,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34768.0,İstanbul,,,Marmara Bölgesi,,,,Baklacı Mahallesi,,Beykoz,,26368
sxkfpm,41.163025,29.503784,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Şile Yolu,,,,Şile,Sofular Mahallesi,24797
sxkbek,40.89386,29.328003,TR-34,,,,,Mescit Mahallesi,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34906.0,İstanbul,,,Marmara Bölgesi,,E-80 Bağlantı Yolu,,Sanayi Mahallesi,,Pendik,,4045
sx7ckc,41.009216,27.98767,TR-59,,,,,,,,Türkiye,tr,,,Tekirdağ,,,,,,,,,,,,,,,,,,,Marmara Bölgesi,,,,,,Marmaraereğlisi,Sultanköy Mahallesi,28202
sxkbem,40.899353,29.328003,TR-34,,,,,Mescit Mahallesi,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34906.0,İstanbul,,,Marmara Bölgesi,,E-80 Bağlantı Yolu,,Sanayi Mahallesi,,Pendik,,877
sxkcd2,41.04767,29.284058,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34799.0,İstanbul,,,Marmara Bölgesi,,Şile Yolu,,Ömerli Mahallesi,,Çekmeköy,Paşaköy Mahallesi,26141
sx7cm5,41.020203,27.998657,TR-59,,,,,,,,Türkiye,tr,,,Tekirdağ,,,,,,,,,,,,,,,34588.0,,,,Marmara Bölgesi,,,,,,Marmaraereğlisi,Sultanköy Mahallesi,28371
sx7cmj,41.03119,27.998657,TR-59,,,,,,,,Türkiye,tr,,,Tekirdağ,,,,,,,,,,,,,,,34588.0,,,,Marmara Bölgesi,,,,,,Marmaraereğlisi,Sultanköy Mahallesi,27920
sxkbe5,40.888367,29.317017,TR-34,Sabiha Gökçen Havaalanı Genişleme Bölgesi,,,,Mescit Mahallesi,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34956.0,İstanbul,,,Marmara Bölgesi,,Bulvar Caddesi,,Mescit,,Tuzla,,21073
sxk4pu,41.15753,28.47107,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,Kaleiçi Mahallesi,,Çatalca,,21138
sxkbhc,40.78949,29.39392,TR-41,,,,,Sırasöğütler Mahallesi,,,Türkiye,tr,,,,,,,,,,,,,,,,,,41700.0,Kocaeli,,,Marmara Bölgesi,,,,Sırasöğütler,,Darıca,,3958
sxk9x8,41.04767,29.163208,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34782.0,İstanbul,,,Marmara Bölgesi,,,,Merkez Mahallesi,,Çekmeköy,,17901
sxk1b8,41.091614,28.152466,TR-34,,Marmara Ceza İnfaz Kurumları Kampüsü,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34570.0,İstanbul,,,Marmara Bölgesi,,Gülçiçek Sokak,,Semizkumlar Mahallesi,,Silivri,Alipaşa Mahallesi,23202
sxk399,41.05316,28.547974,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34537.0,İstanbul,,,Marmara Bölgesi,,,,Ulus Mahallesi,,Büyükçekmece,,9197
sxkcgm,41.11908,29.328003,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34799.0,İstanbul,,,Marmara Bölgesi,,O-7,,,,Çekmeköy,Hüseyinli Mahallesi,20238
sxkcfu,41.113586,29.30603,TR-34,,,,,,,,Türkiye,tr,,,,,,,,208,,,Cihan Akın Köpek Eğitimi ve Pansiyon Hizmetleri,,,,,,,34799.0,İstanbul,,,Marmara Bölgesi,,34-06,,,,Çekmeköy,Hüseyinli Mahallesi,21770
sxkcgj,41.11908,29.317017,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34799.0,İstanbul,,,Marmara Bölgesi,,O-7,,,,Çekmeköy,Hüseyinli Mahallesi,22008
sxkcft,41.11908,29.295044,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34799.0,İstanbul,,,Marmara Bölgesi,,34-06,,,,Çekmeköy,Hüseyinli Mahallesi,25548
sxkcuf,41.1026,29.39392,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,Ömerli Mahallesi,,Çekmeköy,Avcıkoru Mahallesi,21827
sxkcun,41.124573,29.360962,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,O-7,,Ömerli Mahallesi,,Şile,Avcıkoru Mahallesi,21613
sx7ghs,41.333313,27.976685,TR-59,,MS Car Emlak Rent A Car,,,Atatürk Mahallesi,,,Türkiye,tr,,,Tekirdağ,,,,,,,,,,,,,,,59510.0,,,,Marmara Bölgesi,Kapaklı,Dubaz Sokak,,Atatürk Mah.,,Kapaklı,,12397
sxkcgy,41.124573,29.349976,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,O-7,,Ömerli Mahallesi,,Şile,Avcıkoru Mahallesi,21679
sxkcut,41.11908,29.382935,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,Ömerli Mahallesi,,Şile,Avcıkoru Mahallesi,20858
sxkcgt,41.11908,29.33899,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34799.0,İstanbul,,,Marmara Bölgesi,,O-7,,,,Çekmeköy,Hüseyinli Mahallesi,22482
sxkcfv,41.11908,29.30603,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34799.0,İstanbul,,,Marmara Bölgesi,,,,,,Çekmeköy,Hüseyinli Mahallesi,20397
sxkcug,41.108093,29.39392,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Şile,Avcıkoru Mahallesi,13327
sxkcus,41.113586,29.382935,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,Ömerli Mahallesi,,Şile,Avcıkoru Mahallesi,21361
sxkcue,41.108093,29.382935,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,Ömerli Mahallesi,,Çekmeköy,Avcıkoru Mahallesi,21532
sxkcuw,41.124573,29.382935,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,Ömerli Mahallesi,,Şile,Avcıkoru Mahallesi,15802
sxkcuq,41.124573,29.371948,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,O-7,,Ömerli Mahallesi,,Şile,Avcıkoru Mahallesi,21884
sxkdhw,41.168518,29.031372,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34453.0,İstanbul,,,Marmara Bölgesi,,Küçük Sokağı,,Kazım Karabekir Paşa Mahallesi,,Sarıyer,,721
sxkbgu,40.937805,29.349976,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34916.0,İstanbul,,,Marmara Bölgesi,,İstanbul Park Bulvarı,,,,Pendik,Kurna Mahallesi,20194
sxkcgn,41.124573,29.317017,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34799.0,İstanbul,,,Marmara Bölgesi,,O-7,,,,Çekmeköy,Hüseyinli Mahallesi,11939
sxkcgv,41.11908,29.349976,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,O-7,,Ömerli Mahallesi,,Şile,Avcıkoru Mahallesi,3002
sxkc3g,41.020203,29.262085,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34791.0,İstanbul,,,Marmara Bölgesi,,Süleymaniye Caddesi,,Hilal Mahallesi,,Sancaktepe,,23212
sxkcgq,41.124573,29.328003,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34799.0,İstanbul,,,Marmara Bölgesi,,O-7,,,,Çekmeköy,Hüseyinli Mahallesi,20765
sxkd79,41.184998,28.987427,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34473.0,İstanbul,,,Marmara Bölgesi,,,,Bahçeköy Merkez Mahallesi,,Sarıyer,,9629
sxkdht,41.163025,29.031372,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34453.0,İstanbul,,,Marmara Bölgesi,,,,Kazım Karabekir Paşa Mahallesi,,Sarıyer,,12642
sx7fr3,41.184998,28.097534,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34594.0,İstanbul,,,Marmara Bölgesi,,Yolçatı Viyadüğü,,,,Silivri,Beyciler Mahallesi,25927
sx7fq7,41.195984,28.053589,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Büyük Çavuşlu Mahallesi,7330
sxkcgw,41.124573,29.33899,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34799.0,İstanbul,,,Marmara Bölgesi,,O-7,,,,Çekmeköy,Hüseyinli Mahallesi,2896
sxkf44,41.146545,29.273071,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34869.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Beykoz,Kılıçlı Mahallesi,26834
sxk3hg,40.976257,28.690796,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34524.0,İstanbul,,,Marmara Bölgesi,,,,Yakuplu Mahallesi,,Beylikdüzü,,11330
sxkde9,41.228943,28.987427,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450.0,İstanbul,,,Marmara Bölgesi,,,,Gümüşdere Mahallesi,,Sarıyer,,24079
sxk4rv,41.20697,28.47107,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34540.0,İstanbul,,,Marmara Bölgesi,,,,,,Çatalca,Subaşı Mahallesi,9497
sxk3ne,40.976257,28.7677,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34290.0,İstanbul,,,Marmara Bölgesi,,,,Fatih Mahallesi,,Küçükçekmece,,12635
sxk1bf,41.1026,28.163452,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34570.0,İstanbul,,,Marmara Bölgesi,,,,Semizkumlar Mahallesi,,Silivri,Alipaşa Mahallesi,17492
sxkcsr,41.08612,29.371948,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34799.0,İstanbul,,,Marmara Bölgesi,,Şile Yolu,,Ömerli Mahallesi,,Çekmeköy,Koçullu Mahallesi,20364
sxkf8b,41.22345,29.21814,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,Riva Mahallesi,,Beykoz,,12030
sxkf2e,41.195984,29.207153,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Beykoz,Alibahadır Mahallesi,19376
sxk1w8,41.04767,28.416138,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34534.0,İstanbul,,,Marmara Bölgesi,,Köprübaşı Sokağı,,Celaliye Mahallesi,,Büyükçekmece,,24
sxk6k1,41.184998,28.657837,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34281.0,İstanbul,,,Marmara Bölgesi,,,,,,Arnavutköy,Çilingir Mahallesi,406
sxk4pp,41.17401,28.43811,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34540.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,Kaleiçi Mahallesi,,Çatalca,,27723
sxk4jt,41.163025,28.372192,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34592.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Silivri,Kadıköy Mahallesi,27514
sxk6p7,41.15204,28.80066,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34285.0,İstanbul,Sincanlar,,Marmara Bölgesi,,,,Boğazköy İstiklal Mahallesi,,Arnavutköy,,6228
sxk4pz,41.17401,28.47107,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34540.0,İstanbul,,,Marmara Bölgesi,,,,Kaleiçi Mahallesi,,Çatalca,,26433
sxk4jw,41.168518,28.372192,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34592.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Silivri,Kadıköy Mahallesi,27624
sxk90f,40.970764,28.866577,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34158.0,İstanbul,,,Marmara Bölgesi,,,,Ataköy 1. Kısım Mahallesi,,Bakırköy,,610
sxk392,41.04767,28.536987,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34537.0,İstanbul,,,Marmara Bölgesi,,,,Hürriyet Mahallesi,,Büyükçekmece,,15126
sxk4nz,41.17401,28.427124,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34540.0,İstanbul,,,Marmara Bölgesi,,,,Kaleiçi Mahallesi,,Çatalca,,27582
sxm40t,41.163025,29.558716,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34980.0,İstanbul,,,Marmara Bölgesi,,,,,,Şile,Kızılcaköy Mahallesi,4215
sxk4nq,41.168518,28.405151,TR-34,,,,,,,,Türkiye,tr,,,,Eroğlu Çiftliği,,,,,,,,,,,,,,34540.0,İstanbul,,,Marmara Bölgesi,,Çatalca-1 Tüneli,,,,Çatalca,İnceğiz Mahallesi,19540
sxk3b9,41.097107,28.504028,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34537.0,İstanbul,,,Marmara Bölgesi,,Keçecizade Sokağı,,,,Çatalca,Muratbey Merkez Mahallesi,1014
sxk9bj,41.11908,28.833618,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34480.0,İstanbul,,,Marmara Bölgesi,,,,Başak Mahallesi,,Başakşehir,,17731
sxkd4d,41.146545,28.943481,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34075.0,İstanbul,,,Marmara Bölgesi,,,,Mimar Sinan Mahallesi,,Eyüpsultan,,3900
sxk9ud,41.1026,29.031372,TR-34,,İstanbul Teknik Üniversitesi,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34460.0,İstanbul,,,Marmara Bölgesi,,Sanayi Caddesi,,Pınar Mahallesi,,Sarıyer,,2010
sxk6r9,41.184998,28.811646,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34285.0,İstanbul,,,Marmara Bölgesi,,,,Boğazköy İstiklal Mahallesi,,Arnavutköy,,608
sx7fqh,41.201477,28.042603,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Büyük Çavuşlu Mahallesi,2904
sxkdk1,41.184998,29.0094,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34473.0,İstanbul,,,Marmara Bölgesi,,,,Bahçeköy Yeni Mahalle,,Sarıyer,,7376
sxk1be,41.108093,28.152466,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34570.0,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Alipaşa Mahallesi,996
sxkb6f,40.83893,29.30603,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34944.0,İstanbul,,,Marmara Bölgesi,,Canfeda Sokak,,Evliya Çelebi Mahallesi,,Tuzla,,9814
sx7cwt,41.075134,28.064575,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34588.0,İstanbul,,,Marmara Bölgesi,,,,Gümüşyaka Mahallesi,,Silivri,,2318
sxk4ny,41.168518,28.427124,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34540.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,Kaleiçi Mahallesi,,Çatalca,,26709
sxk4h3,41.141052,28.31726,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34592.0,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Gazitepe Mahallesi,26961
sxk442,41.13556,28.22937,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34570.0,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Alipaşa Mahallesi,27157
sxm40y,41.168518,29.569702,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34980.0,İstanbul,,,Marmara Bölgesi,,Damlapınar Sokağı,,,,Şile,Meşrutiyet Mahallesi,2258
sxk44c,41.141052,28.251343,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34582.0,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Fener Mahallesi,27270
sxk45c,41.141052,28.295288,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34592.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Silivri,Akören Mahallesi,27365
sxk448,41.13556,28.240356,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34582.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Silivri,Alipaşa Mahallesi,27297
sxk1gx,41.130066,28.284302,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34570.0,İstanbul,,,Marmara Bölgesi,,,,Yeni Mahalle,,Silivri,,24144
sxk4nw,41.168518,28.416138,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34540.0,İstanbul,,,Marmara Bölgesi,,Orman Yolu,,Kaleiçi Mahallesi,,Çatalca,,25347
sxk456,41.146545,28.273315,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34582.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Silivri,Alipaşa Mahallesi,27244
sxk45b,41.13556,28.295288,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34592.0,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Akören Mahallesi,24631
sxk1fr,41.130066,28.22937,TR-34,,,,,,,,Türkiye,tr,,,,,,Fenerköy Dinlenme Tesisi,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Silivri,Alipaşa Mahallesi,27286
sxk4h1,41.141052,28.306274,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34592.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Silivri,Akören Mahallesi,27262
sxk451,41.141052,28.26233,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34582.0,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Fener Mahallesi,27118
sxk6tg,41.23993,28.734741,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34275.0,İstanbul,,,Marmara Bölgesi,,,,İmrahor Mahallesi,,Arnavutköy,,898
sxk3hf,40.970764,28.690796,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34524.0,İstanbul,,,Marmara Bölgesi,,,,Yakuplu Mahallesi,,Beylikdüzü,,3934
sxk4h6,41.146545,28.31726,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34592.0,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Akören Mahallesi,27200
sxk45f,41.146545,28.295288,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34582.0,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Fener Mahallesi,20812
sxk4jm,41.163025,28.361206,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34592.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Silivri,Kadıköy Mahallesi,27284
sxk45d,41.146545,28.284302,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34582.0,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Fener Mahallesi,27073
sxk1fp,41.130066,28.218384,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34570.0,İstanbul,,,Marmara Bölgesi,,Harman Pınar Caddesi,,,,Silivri,Alipaşa Mahallesi,27286
sxk454,41.146545,28.26233,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34582.0,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Fener Mahallesi,27178
