GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village,data_amount,label,centroid_lat,centroid_lon
sxk3xw,41.080627,28.811646,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34490.0,İstanbul,,,Marmara Bölgesi,,Yaşar Doğu Bulvarı,,İkitelli OSB Mahallesi,,Başakşehir,,28504,5,41.07883557857143,28.785801545238094
sxk9nm,40.987244,29.108276,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34758.0,İstanbul,,,Marmara Bölgesi,,Küçükbakkalköy Bağlantısı,,Atatürk Mahallesi,,Ataşehir,,28504,1,41.01326673253012,29.157119156626507
sxk9q0,41.003723,29.09729,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34707.0,İstanbul,,,Marmara Bölgesi,,3100. Sokak,,Mustafa Kemal Mahallesi,,Ataşehir,,28492,1,41.01326673253012,29.157119156626507
sxk3hx,40.99823,28.67981,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,Beysan Sanayi Sitesi,,,,,,,,,34524.0,İstanbul,,,Marmara Bölgesi,,,,Yakuplu Mahallesi,,Beylikdüzü,,28496,5,41.07883557857143,28.785801545238094
sx7cmx,41.042175,28.02063,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34588.0,İstanbul,,,Marmara Bölgesi,,Dertli Sokak,,Gümüşyaka Mahallesi,,Silivri,,28297,3,41.13532592121212,28.101396066666666
sxkdtb,41.22345,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450.0,İstanbul,,,Marmara Bölgesi,,,,,,Sarıyer,Rumelifeneri Mahallesi,28449,4,41.07751961042184,28.96092865508685
sxk90j,40.987244,28.833618,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34149.0,İstanbul,,,Marmara Bölgesi,,,,Yeşilköy Mahallesi,,Bakırköy,,28441,5,41.07883557857143,28.785801545238094
sxkd86,41.234436,28.844604,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34076.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Eyüpsultan,Işıklar Mahallesi,28491,5,41.07883557857143,28.785801545238094
sxk36u,41.025696,28.602905,TR-34,,,,,,,,Türkiye,tr,,,,,,Tabya,,,,,,,,,,,,34500.0,İstanbul,,,Marmara Bölgesi,,Hilal Caddesi,,19 Mayıs Mahallesi,,Büyükçekmece,,28492,0,41.098710162679424,28.528366459330144
sxk3kv,41.03119,28.690796,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34510.0,İstanbul,,,Marmara Bölgesi,,Balina Caddesi,,İnönü Mahallesi,,Esenyurt,,28498,5,41.07883557857143,28.785801545238094
sxk9j3,40.96527,29.064331,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,Raket Kulüp,,,,,,,34728.0,İstanbul,,,Marmara Bölgesi,,Şehit Selin Çelik Sokağı,,Caddebostan Mahallesi,,Kadıköy,,28238,1,41.01326673253012,29.157119156626507
sxk1qy,41.036682,28.427124,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34534.0,İstanbul,,,Marmara Bölgesi,,,,Kamiloba Mahallesi,,Büyükçekmece,,28420,0,41.098710162679424,28.528366459330144
sxk9t9,41.05316,29.075317,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34680.0,İstanbul,,,Marmara Bölgesi,,Çağdaş Sokağı,Akasya Pastanesi,Güzeltepe Mahallesi,,Üsküdar,,28344,1,41.01326673253012,29.157119156626507
sxk9c3,41.097107,28.88855,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34265.0,İstanbul,,,Marmara Bölgesi,,2875. Sokak,,Esentepe Mahallesi,,Sultangazi,,28477,4,41.07751961042184,28.96092865508685
sxk3qy,41.036682,28.778687,TR-34,,Dilek Kafe,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34303.0,İstanbul,,,Marmara Bölgesi,Avrupa Konutları Atakent 3,Kent Meydanı,,Halkalı Merkez Mahallesi,,Küçükçekmece,,28461,5,41.07883557857143,28.785801545238094
sxk9pt,40.987244,29.163208,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34779.0,İstanbul,,,Marmara Bölgesi,,Kahraman Sokağı,,Yeni Çamlıca Mahallesi,,Ataşehir,,28463,1,41.01326673253012,29.157119156626507
sxkb9d,40.882874,29.251099,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34896.0,İstanbul,,,Marmara Bölgesi,,Tevfik İleri Caddesi,,Dumlupınar Mahallesi,,Pendik,,28505,2,40.89860279512195,29.325698585365853
sx7cmq,41.036682,28.009644,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34588.0,İstanbul,,,Marmara Bölgesi,,Mümtaz Sokak,,Gümüşyaka Mahallesi,,Silivri,,28355,3,41.13532592121212,28.101396066666666
sxk6ts,41.245422,28.723755,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34277.0,İstanbul,,,Marmara Bölgesi,,Viyadük 01,,Tayakadın Mahallesi,,Arnavutköy,,28485,5,41.07883557857143,28.785801545238094
sxk409,41.141052,28.152466,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34582.0,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Yolçatı Mahallesi,28462,3,41.13532592121212,28.101396066666666
sxkbbc,40.921326,29.21814,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34882.0,İstanbul,,,Marmara Bölgesi,,Mühürdar Caddesi,,Yakacık Yeni Mahallesi,,Kartal,,28443,2,40.89860279512195,29.325698585365853
sxkc3u,41.025696,29.262085,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34791.0,İstanbul,,,Marmara Bölgesi,,Süleymaniye Caddesi,,Hilal Mahallesi,,Sancaktepe,,28445,1,41.01326673253012,29.157119156626507
sxk39h,41.06964,28.526001,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34537.0,İstanbul,,,Marmara Bölgesi,,Çatalca Yolu Caddesi,,Hürriyet Mahallesi,,Büyükçekmece,Ahmediye Mahallesi,28420,0,41.098710162679424,28.528366459330144
sxk9rs,41.025696,29.163208,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34773.0,İstanbul,,,Marmara Bölgesi,,,,Huzur Mahallesi,,Ümraniye,,28326,1,41.01326673253012,29.157119156626507
sxk9my,41.036682,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34690.0,İstanbul,,,Marmara Bölgesi,,,,Yavuztürk Mahallesi,,Üsküdar,,28296,1,41.01326673253012,29.157119156626507
sxk1rm,41.03119,28.449097,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34530.0,İstanbul,,,Marmara Bölgesi,,Koyuncu Sokağı,,Kumburgaz Mahallesi,,Büyükçekmece,,28456,0,41.098710162679424,28.528366459330144
sxk3pk,40.98175,28.80066,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34153.0,İstanbul,Florya,,Marmara Bölgesi,,Avcılar Sokağı,,Şenlikköy Mahallesi,,Bakırköy,,28331,5,41.07883557857143,28.785801545238094
sxk1w5,41.064148,28.394165,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34534.0,İstanbul,,,Marmara Bölgesi,,,,Celaliye Mahallesi,,Büyükçekmece,,28454,0,41.098710162679424,28.528366459330144
sxk3s6,41.058655,28.668823,TR-34,,,akkoza 62,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34538.0,İstanbul,,,Marmara Bölgesi,,1655. Sokak,,Koza Mahallesi,,Esenyurt,,28469,5,41.07883557857143,28.785801545238094
sxk981,41.05316,28.833618,TR-34,,Doğanay,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34218.0,İstanbul,,,Marmara Bölgesi,,Maslak Caddesi,,Demirkapı Mahallesi,,Bağcılar,,28491,5,41.07883557857143,28.785801545238094
sxk9nh,40.98175,29.09729,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34750.0,İstanbul,Üçdutlar,,Marmara Bölgesi,,Kozyatağı O2 Bağlantısı,,Küçükbakkalköy Mahallesi,,Ataşehir,,28508,1,41.01326673253012,29.157119156626507
sxk9ew,41.080627,28.987427,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34410.0,İstanbul,,,Marmara Bölgesi,,Güneşli Sokağı,,Harmantepe Mahallesi,,Kâğıthane,,28485,4,41.07751961042184,28.96092865508685
sxk93p,41.042175,28.877563,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34225.0,İstanbul,,,Marmara Bölgesi,,352. Sokak,,Menderes Mahallesi,,Esenler,,28467,4,41.07751961042184,28.96092865508685
sxkc64,41.01471,29.273071,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34791.0,İstanbul,,,Marmara Bölgesi,,,,,,Sancaktepe,Paşaköy Mahallesi,28494,1,41.01326673253012,29.157119156626507
sxk3kf,41.01471,28.690796,TR-34,,,,,,,,Türkiye,tr,Namık Kemal Mahallesi,,,,,,,,,,,,,,,,,34513.0,İstanbul,,,Marmara Bölgesi,,20. Sokak,,,,Esenyurt,,28491,5,41.07883557857143,28.785801545238094
sxk980,41.04767,28.833618,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34218.0,İstanbul,,,Marmara Bölgesi,,,,Demirkapı Mahallesi,,Bağcılar,,28499,5,41.07883557857143,28.785801545238094
sxk9nd,40.970764,29.119263,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34752.0,İstanbul,Karakol Yolu,,Marmara Bölgesi,,Kavaklar Sokağı,,İçerenköy Mahallesi,,Ataşehir,,28482,1,41.01326673253012,29.157119156626507
sxkcfk,41.113586,29.284058,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34869.0,İstanbul,,,Marmara Bölgesi,,,,,,Çekmeköy,Hüseyinli Mahallesi,28127,1,41.01326673253012,29.157119156626507
sxk93d,41.01471,28.899536,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34173.0,İstanbul,Cömertkent,,Marmara Bölgesi,,Tankçı Sokağı,,Tozkoparan Mahallesi,,Güngören,,28498,4,41.07751961042184,28.96092865508685
sxhzvr,40.778503,29.415894,TR-41,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,41400.0,Kocaeli,,,Marmara Bölgesi,,,,Abdi İpekçi Mahallesi,,Darıca,,28465,2,40.89860279512195,29.325698585365853
sxkc0k,40.98175,29.196167,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34888.0,İstanbul,,,Marmara Bölgesi,,,,Ferhatpaşa Mahallesi,,Ataşehir,,28493,1,41.01326673253012,29.157119156626507
sxk6e0,41.22345,28.613892,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Arnavutköy,Dursunköy Mahallesi,28439,0,41.098710162679424,28.528366459330144
sxkc1n,40.992737,29.229126,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34887.0,İstanbul,,,Marmara Bölgesi,,,,Abdurrahmangazi Mahallesi,,Sancaktepe,,28459,1,41.01326673253012,29.157119156626507
sxk8z4,40.92682,29.141235,TR-34,,,Girne Apartmanı,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34844.0,İstanbul,,,Marmara Bölgesi,,Dereçay Sokağı,,Bağlarbaşı Mahallesi,,Maltepe,,28428,1,41.01326673253012,29.157119156626507
sxk61z,41.17401,28.55896,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Nakkaş Kavşağı,,,,Çatalca,Nakkaş Mahallesi,28455,0,41.098710162679424,28.528366459330144
sxk1ge,41.108093,28.284302,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34592.0,İstanbul,,,Marmara Bölgesi,,Avrupa Otoyolu,,Yeni Mahalle,,Silivri,Gazitepe Mahallesi,28483,3,41.13532592121212,28.101396066666666
sxk98z,41.08612,28.866577,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34235.0,İstanbul,,,Marmara Bölgesi,,Eski Edirne Asfaltı,,Oruçreis Mahallesi,,Esenler,,28488,5,41.07883557857143,28.785801545238094
sx7fqg,41.195984,28.075562,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Tarla Yolu,,,,Silivri,Büyük Çavuşlu Mahallesi,28467,3,41.13532592121212,28.101396066666666
sxk9jn,40.992737,29.053345,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34720.0,İstanbul,,,Marmara Bölgesi,,Mandıra Caddesi,,Fikirtepe Mahallesi,,Kadıköy,,28466,1,41.01326673253012,29.157119156626507
sxk3rq,41.036682,28.80066,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34303.0,İstanbul,,,Marmara Bölgesi,,,,Halkalı Merkez Mahallesi,,Küçükçekmece,,28472,5,41.07883557857143,28.785801545238094
sxk3t4,41.058655,28.701782,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34325.0,İstanbul,,,Marmara Bölgesi,,Avrupa Otoyolu,,Yeşilkent Mahallesi,,Avcılar,,28507,5,41.07883557857143,28.785801545238094
sxkbdq,40.904846,29.284058,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34906.0,İstanbul,,,Marmara Bölgesi,,Kuruçeşme Sokak,Beyaz İnci Çiçekçilik,Şeyhli Mahallesi,,Pendik,,28490,2,40.89860279512195,29.325698585365853
sxkdmz,41.217957,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Sarıyer,Garipçe Mahallesi,28483,4,41.07751961042184,28.96092865508685
sxk3rh,41.025696,28.789673,TR-34,,İsmet Aktar Mesleki ve Teknik Anadolu Lisesi,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34295.0,İstanbul,,,Marmara Bölgesi,,Mavi Sokağı,,Söğütlü Çeşme Mahallesi,,Küçükçekmece,,28492,5,41.07883557857143,28.785801545238094
sxk1w2,41.04767,28.405151,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34534.0,İstanbul,,,Marmara Bölgesi,,Fırat Caddesi,,Celaliye Mahallesi,,Büyükçekmece,,28453,0,41.098710162679424,28.528366459330144
sxk9mv,41.03119,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34764.0,İstanbul,,,Marmara Bölgesi,,Akın Sokağı,,Tantavi Mahallesi,,Ümraniye,,28499,1,41.01326673253012,29.157119156626507
sxk3g4,41.1026,28.613892,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34500.0,İstanbul,,,Marmara Bölgesi,,,,Karaağaç Mahallesi,,Büyükçekmece,,28468,0,41.098710162679424,28.528366459330144
sxkf24,41.19049,29.18518,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34829.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Beykoz,Anadolufeneri Mahallesi,28486,1,41.01326673253012,29.157119156626507
sxkbkw,40.8609,29.382935,TR-41,,,Titiz Temizlik,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34950.0,Kocaeli,,,Marmara Bölgesi,,Turgut Özal Caddesi,,Şekerpınar Mahallesi,,Çayırova,,28498,2,40.89860279512195,29.325698585365853
sxk66k,41.201477,28.580933,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Çatalca,Nakkaş Mahallesi,28429,0,41.098710162679424,28.528366459330144
sxk665,41.195984,28.569946,TR-34,,Opet,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34540.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Çatalca,Nakkaş Mahallesi,28454,0,41.098710162679424,28.528366459330144
sxk323,41.009216,28.493042,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34530.0,İstanbul,,,Marmara Bölgesi,,,,Bahçelievler Mahallesi,,Büyükçekmece,,28399,0,41.098710162679424,28.528366459330144
sxkd9f,41.234436,28.910522,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34076.0,İstanbul,,,Marmara Bölgesi,,Davutpaşa Caddesi,,Mithatpaşa Mahallesi,,Eyüpsultan,Çiftalan Mahallesi,28489,4,41.07751961042184,28.96092865508685
sxk6mc,41.184998,28.734741,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34283.0,İstanbul,,,Marmara Bölgesi,,,,Mustafa Kemal Paşa Mahallesi,,Arnavutköy,,28458,5,41.07883557857143,28.785801545238094
sxk1gg,41.108093,28.295288,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34592.0,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Gazitepe Mahallesi,28473,3,41.13532592121212,28.101396066666666
sxk3ew,41.080627,28.635864,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34522.0,İstanbul,,,Marmara Bölgesi,,1563. Sokak,,Akçaburgaz Mahallesi,,Esenyurt,,28409,0,41.098710162679424,28.528366459330144
sxk9ev,41.075134,28.998413,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34413.0,İstanbul,,,Marmara Bölgesi,,Yenidere Sokağı,,Gülbahar Mahallesi,,Şişli,,28468,4,41.07751961042184,28.96092865508685
sxkbbv,40.9433,29.21814,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34882.0,İstanbul,,,Marmara Bölgesi,,Samandıra Caddesi,,Yakacık Yeni Mahallesi,,Kartal,,28494,1,41.01326673253012,29.157119156626507
sx7cmh,41.025696,27.998657,TR-34,,,,,,,,Türkiye,tr,,,Tekirdağ,,,,,,,,,,,,,,,34588.0,İstanbul,,,Marmara Bölgesi,,D110,,Gümüşyaka Mahallesi,,Silivri,Sultanköy Mahallesi,28424,3,41.13532592121212,28.101396066666666
sxk97w,41.036682,28.987427,TR-34,,,,,Gümüşsuyu Mahallesi,,,Türkiye,tr,,,,,,Taksim AKM,,,,,,,,,,,,34437.0,İstanbul,Taksim,,Marmara Bölgesi,,Mete Caddesi,,Gümüşsuyu,,Beyoğlu,,28468,4,41.07751961042184,28.96092865508685
sxk38e,41.064148,28.504028,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34537.0,İstanbul,,,Marmara Bölgesi,,Avrupa Otoyolu,,,,Çatalca,Muratbey Merkez Mahallesi,28482,0,41.098710162679424,28.528366459330144
sxkc2x,41.042175,29.207153,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34788.0,İstanbul,,,Marmara Bölgesi,,O-7,,Merkez Mahallesi,,Çekmeköy,,28395,1,41.01326673253012,29.157119156626507
sxkc68,41.003723,29.295044,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34916.0,İstanbul,,,Marmara Bölgesi,,Kurnaköy-Ömerli Yolu,,,,Pendik,Kurtdoğmuş Mahallesi,28431,2,40.89860279512195,29.325698585365853
sxk3wz,41.08612,28.778687,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34480.0,İstanbul,,,Marmara Bölgesi,,,,Başakşehir Mahallesi,,Başakşehir,,28398,5,41.07883557857143,28.785801545238094
sxkc09,40.96527,29.207153,TR-34,,Maltepe Açık Ceza İnfaz Kurumu,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34885.0,İstanbul,Ortadağ,,Marmara Bölgesi,,Derman Sokağı,,Fatih Mahallesi,,Sancaktepe,,28258,1,41.01326673253012,29.157119156626507
sxk8z5,40.932312,29.141235,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34844.0,İstanbul,,,Marmara Bölgesi,,Şahin Sokağı,,Bağlarbaşı Mahallesi,,Maltepe,,28509,1,41.01326673253012,29.157119156626507
sxk9j5,40.976257,29.053345,TR-34,,,Orkide Apt.,,,,,Türkiye,tr,,,,,,,,10,,,,,,,,,,34730.0,İstanbul,Selamiçeşme,,Marmara Bölgesi,,Gülden Sokağı,,Göztepe Mahallesi,,Kadıköy,,28278,1,41.01326673253012,29.157119156626507
sxk9d6,41.058655,28.932495,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34050.0,İstanbul,,,Marmara Bölgesi,,İdris Köşkü Caddesi,,Merkez Mahallesi,,Eyüpsultan,,28475,4,41.07751961042184,28.96092865508685
sxk9qt,41.03119,29.119263,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34768.0,İstanbul,,,Marmara Bölgesi,,Üsküdar-Ümraniye TEM Bağlantı Yolu,,Saray Mahallesi,,Ümraniye,,28509,1,41.01326673253012,29.157119156626507
sxk9jy,40.992737,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34704.0,İstanbul,,,Marmara Bölgesi,,Efsane Sokağı,,Örnek Mahallesi,,Ataşehir,,28418,1,41.01326673253012,29.157119156626507
sxk9g8,41.091614,28.987427,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34398.0,İstanbul,,,Marmara Bölgesi,,,,Seyrantepe Mahallesi,,Kâğıthane,,28484,4,41.07751961042184,28.96092865508685
sxk6ph,41.15753,28.789673,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34285.0,İstanbul,,,Marmara Bölgesi,,,,Boğazköy İstiklal Mahallesi,,Arnavutköy,,28482,5,41.07883557857143,28.785801545238094
sxk9e2,41.04767,28.97644,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34379.0,İstanbul,,,Marmara Bölgesi,,Özden Sokağı,,Yayla Mahallesi,,Şişli,,28297,4,41.07751961042184,28.96092865508685
sxk984,41.058655,28.833618,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34218.0,İstanbul,,,Marmara Bölgesi,,,,Göztepe Mahallesi,,Bağcılar,,28478,5,41.07883557857143,28.785801545238094
sx7fqz,41.217957,28.075562,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34594.0,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Büyük Çavuşlu Mahallesi,28113,3,41.13532592121212,28.101396066666666
sxk9ru,41.025696,29.174194,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34773.0,İstanbul,,,Marmara Bölgesi,,Aysun Sokağı,,Necip Fazıl Mahallesi,,Ümraniye,,28496,1,41.01326673253012,29.157119156626507
sx7fr8,41.179504,28.10852,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34582.0,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Seymen Mahallesi,28467,3,41.13532592121212,28.101396066666666
sxkcdr,41.08612,29.284058,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34794.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,Ömerli Mahallesi,,Çekmeköy,,28489,1,41.01326673253012,29.157119156626507
sxk91j,40.987244,28.877563,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34145.0,İstanbul,,,Marmara Bölgesi,,Buhar Sokak,,Kartaltepe Mahallesi,,Bakırköy,,28331,4,41.07751961042184,28.96092865508685
sxk3eq,41.080627,28.624878,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34500.0,İstanbul,,,Marmara Bölgesi,,,,Alkent 2000 Mahallesi,,Büyükçekmece,,28475,0,41.098710162679424,28.528366459330144
sxkbsk,40.89386,29.371948,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34956.0,İstanbul,,,Marmara Bölgesi,,,,Orta Mahallesi,,Tuzla,,28504,2,40.89860279512195,29.325698585365853
sxk9k7,41.020203,29.020386,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34672.0,İstanbul,,,Marmara Bölgesi,,Çavuşdere Caddesi,,Mimar Sinan Mahallesi,,Üsküdar,,28191,4,41.07751961042184,28.96092865508685
sxkbs7,40.888367,29.371948,TR-34,,,,,Orhanlı Mahallesi,,,Türkiye,tr,,,,,,,,,İstanbul Deri Organize Sanayi Bölgesi,,,,,,,,,34956.0,İstanbul,,,Marmara Bölgesi,,OSB 7. Yol Sk.,,Orhanlı,,Tuzla,,28503,2,40.89860279512195,29.325698585365853
sxk4pt,41.163025,28.460083,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Turgut Özal Caddesi,,Kaleiçi Mahallesi,,Çatalca,,28433,0,41.098710162679424,28.528366459330144
sxk92p,41.042175,28.833618,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34212.0,İstanbul,,,Marmara Bölgesi,,,,Yenimahalle Mahallesi,,Bağcılar,,28489,5,41.07883557857143,28.785801545238094
sxk9jp,40.99823,29.053345,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34720.0,İstanbul,,,Marmara Bölgesi,,Güven Sokağı,,Fikirtepe Mahallesi,,Kadıköy,,28504,1,41.01326673253012,29.157119156626507
sxk9p4,40.970764,29.141235,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34854.0,İstanbul,,,Marmara Bölgesi,,Fırat Sokağı,,Fındıklı Mahallesi,,Maltepe,,28481,1,41.01326673253012,29.157119156626507
sxk999,41.05316,28.899536,TR-34,,Damla Eczanesi,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34040.0,İstanbul,,,Marmara Bölgesi,,Ordu Caddesi,,Kartaltepe Mahallesi,,Bayrampaşa,,28452,4,41.07751961042184,28.96092865508685
sxk6mb,41.179504,28.734741,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34283.0,İstanbul,,,Marmara Bölgesi,,,,Arnavutköy Merkez Mahallesi,,Arnavutköy,,28458,5,41.07883557857143,28.785801545238094
sxkbu7,40.932312,29.371948,TR-34,,,Millenium Park,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34959.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,Tepeören Mahallesi,,Tuzla,,28427,2,40.89860279512195,29.325698585365853
sxk8z3,40.921326,29.152222,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34846.0,İstanbul,,,Marmara Bölgesi,,Kardeş Sokağı,,Cevizli Mahallesi,,Maltepe,,28496,1,41.01326673253012,29.157119156626507
