GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village,data_amount,label,centroid_lat,centroid_lon
sxk9mx,41.042175,29.075317,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34682.0,İstanbul,,,Marmara Bölgesi,Çengelköy Park Evleri,,,Mehmet Akif Ersoy Mahallesi,,Üsküdar,,28364,1,41.01326673253012,29.157119156626507
sxk6nq,41.168518,28.756714,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34285.0,İstanbul,,,Marmara Bölgesi,,,,Arnavutköy Merkez Mahallesi,,Arnavutköy,,28443,5,41.07883557857143,28.785801545238094
sxk9fw,41.124573,28.943481,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34075.0,İstanbul,,,Marmara Bölgesi,,Kemerburgaz Yolu,,Mithatpaşa Mahallesi,,Eyüpsultan,,28490,4,41.07751961042184,28.96092865508685
sxk8zm,40.9433,29.152222,TR-34,,,Hukukçular Ve İdareciler Sitesi,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34852.0,İstanbul,,,Marmara Bölgesi,,Nil Caddesi,,Zümrütevler Mahallesi,,Maltepe,,28463,1,41.01326673253012,29.157119156626507
sxk94j,40.987244,28.921509,TR-34,,,,İstanbul,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34020.0,İstanbul,,,Marmara Bölgesi,,Kennedy Caddesi,,Yedikule Mahallesi,,Fatih,,28410,4,41.07751961042184,28.96092865508685
sxk8vz,40.954285,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34728.0,İstanbul,,,Marmara Bölgesi,,,,Caddebostan Mahallesi,,Kadıköy,,28055,1,41.01326673253012,29.157119156626507
sxk90g,40.976257,28.866577,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34158.0,İstanbul,,,Marmara Bölgesi,,,,Ataköy 1. Kısım Mahallesi,,Bakırköy,,28456,5,41.07883557857143,28.785801545238094
sxk9hu,40.98175,29.042358,TR-34,,,,,,,,Türkiye,tr,,,,,,,,1,,,,,,,,,,34724.0,İstanbul,,,Marmara Bölgesi,,Rüzgargülü Çıkmazı,,Feneryolu Mahallesi,,Kadıköy,,28373,1,41.01326673253012,29.157119156626507
sxkdqk,41.201477,29.108276,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,Yavuz Sultan Selim Köprüsü,,,,,34825.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Beykoz,Poyrazköy Mahallesi,28479,4,41.07751961042184,28.96092865508685
sxk3je,40.976257,28.723755,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34315.0,İstanbul,,,Marmara Bölgesi,,Sait Faik Sokağı,,Denizköşkler Mahallesi,,Avcılar,,28415,5,41.07883557857143,28.785801545238094
sx7cxu,41.06964,28.119507,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34580.0,İstanbul,,,Marmara Bölgesi,,,,Çanta Sancaktepe Mahallesi,,Silivri,,28452,3,41.13532592121212,28.101396066666666
sxk3nt,40.987244,28.7677,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34290.0,İstanbul,,,Marmara Bölgesi,,830. Yanyol,,Fatih Mahallesi,,Küçükçekmece,,28516,5,41.07883557857143,28.785801545238094
sxk395,41.064148,28.526001,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34537.0,İstanbul,,,Marmara Bölgesi,,,,Hürriyet Mahallesi,,Büyükçekmece,Ahmediye Mahallesi,28393,0,41.098710162679424,28.528366459330144
sxk98b,41.04767,28.866577,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34230.0,İstanbul,Atışalanı,,Marmara Bölgesi,,775. Sokak,,Birlik Mahallesi,,Esenler,,28481,5,41.07883557857143,28.785801545238094
sxk3e3,41.05316,28.624878,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34500.0,İstanbul,,,Marmara Bölgesi,,Hicaz Sokağı,,Çakmaklı Mahallesi,,Büyükçekmece,,28472,0,41.098710162679424,28.528366459330144
sx7fmg,41.195984,28.031616,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Büyük Çavuşlu Mahallesi,28455,3,41.13532592121212,28.101396066666666
sxkc57,40.976257,29.328003,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34916.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Pendik,Emirli Mahallesi,28494,2,40.89860279512195,29.325698585365853
sxk9mh,41.025696,29.053345,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34676.0,İstanbul,,,Marmara Bölgesi,,Kanuni Sultan Süleyman Sokağı,,Burhaniye Mahallesi,,Üsküdar,,28481,1,41.01326673253012,29.157119156626507
sxkc5n,40.992737,29.317017,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34916.0,İstanbul,,,Marmara Bölgesi,,Emirli Mah.,,,,Pendik,Emirli Mahallesi,28462,2,40.89860279512195,29.325698585365853
sxk3nw,40.992737,28.7677,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34290.0,İstanbul,,,Marmara Bölgesi,,,,Fatih Mahallesi,,Küçükçekmece,,28432,5,41.07883557857143,28.785801545238094
sx7fvk,41.289368,28.009644,TR-59,,,,,,,,Türkiye,tr,,,Tekirdağ,,,,,,,,,,,,,,,59500.0,,,,Marmara Bölgesi,Çerkezköy,,,Fatih Mahallesi,,Çerkezköy,,28299,3,41.13532592121212,28.101396066666666
sxk9ph,40.98175,29.141235,TR-34,,İmam Hüseyin Cami,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34755.0,İstanbul,,,Marmara Bölgesi,,Uslu Caddesi,,Kayışdağı Mahallesi,,Ataşehir,,28447,1,41.01326673253012,29.157119156626507
sxk9s3,41.05316,29.020386,TR-34,,,Republika Apartments,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34347.0,İstanbul,,,Marmara Bölgesi,Mediko 2 Sitesi,Mustafa İzzet Efendi Sokağı,,Mecidiye Mahallesi,,Beşiktaş,,28488,4,41.07751961042184,28.96092865508685
sxk33x,41.042175,28.547974,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34537.0,İstanbul,,,Marmara Bölgesi,,Sırt Sokağı,,Ulus Mahallesi,,Büyükçekmece,,28420,0,41.098710162679424,28.528366459330144
sx7cw0,41.04767,28.042603,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34588.0,İstanbul,,,Marmara Bölgesi,,Mehpare Sokak,,Gümüşyaka Mahallesi,,Silivri,,28431,3,41.13532592121212,28.101396066666666
sxkdr7,41.195984,29.152222,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34825.0,İstanbul,,,Marmara Bölgesi,,Anadolufeneri Yolu,,,,Beykoz,Anadolufeneri Mahallesi,28492,1,41.01326673253012,29.157119156626507
sxk8xv,40.899353,29.174194,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34862.0,İstanbul,,,Marmara Bölgesi,,İncekaya Sokağı,,Atalar Mahallesi,,Kartal,,28453,1,41.01326673253012,29.157119156626507
sxkc3v,41.03119,29.262085,TR-34,,Özyeğin Üniversitesi,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34794.0,İstanbul,,,Marmara Bölgesi,,Nişantepe Caddesi,,Nişantepe Mahallesi,,Çekmeköy,,28465,1,41.01326673253012,29.157119156626507
sxk99t,41.075134,28.899536,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34250.0,İstanbul,,,Marmara Bölgesi,,540/4. Sokak,,Yeni Mahalle Mahallesi,,Gaziosmanpaşa,,28488,4,41.07751961042184,28.96092865508685
sxk4py,41.168518,28.47107,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34540.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,Kaleiçi Mahallesi,,Çatalca,,28472,0,41.098710162679424,28.528366459330144
sxk97x,41.042175,28.987427,TR-34,,,,,Harbiye Mahallesi,,,Türkiye,tr,,,,,,,,36,,,,,,,,,,34367.0,İstanbul,Taşkışla,,Marmara Bölgesi,,Cumhuriyet Caddesi,,Harbiye,,Şişli,,28495,4,41.07751961042184,28.96092865508685
sxkc5e,40.976257,29.33899,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34916.0,İstanbul,,,Marmara Bölgesi,,,,,,Pendik,Emirli Mahallesi,28061,2,40.89860279512195,29.325698585365853
sxk3w7,41.064148,28.756714,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34307.0,İstanbul,,,Marmara Bölgesi,,Çetin Sokağı,,Altınşehir Mahallesi,,Başakşehir,,28500,5,41.07883557857143,28.785801545238094
sxkf26,41.19049,29.196167,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34829.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Beykoz,Anadolufeneri Mahallesi,28486,1,41.01326673253012,29.157119156626507
sxk93q,41.036682,28.88855,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34220.0,İstanbul,,,Marmara Bölgesi,,Merve Sokağı,,Yavuz Selim Mahallesi,,Esenler,,28495,4,41.07751961042184,28.96092865508685
sxk1b9,41.097107,28.152466,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34570.0,İstanbul,,,Marmara Bölgesi,,Çanta Caddesi,,Semizkumlar Mahallesi,,Silivri,Alipaşa Mahallesi,28404,3,41.13532592121212,28.101396066666666
sxk9dk,41.06964,28.932495,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34065.0,İstanbul,,,Marmara Bölgesi,,Vardar Bulvarı,,Karadolap Mahallesi,,Eyüpsultan,,28456,4,41.07751961042184,28.96092865508685
sxk3g8,41.091614,28.635864,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34555.0,İstanbul,,,Marmara Bölgesi,,Hadımköy-İstanbul Caddesi,,Ömerli Mahallesi,,Arnavutköy,,28460,0,41.098710162679424,28.528366459330144
sxk9sy,41.080627,29.042358,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34342.0,İstanbul,,,Marmara Bölgesi,,Özlemli Sokağı,,Bebek Mahallesi,,Beşiktaş,,28199,4,41.07751961042184,28.96092865508685
sxk9s8,41.04767,29.031372,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,15 Temmuz Şehitler Köprüsü,,,,,34347.0,İstanbul,,,Marmara Bölgesi,,15 Temmuz Şehitler Köprüsü,,Ortaköy Mahallesi,,Beşiktaş,,28497,4,41.07751961042184,28.96092865508685
sxk97d,41.01471,28.987427,TR-34,,,,İstanbul,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34122.0,İstanbul,,,Marmara Bölgesi,,Kennedy Caddesi,,Cankurtaran Mahallesi,,Fatih,,28180,4,41.07751961042184,28.96092865508685
sxk9ts,41.06964,29.075317,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34815.0,İstanbul,,,Marmara Bölgesi,,Hekimbaşı Çiftlik Caddesi,merkan otomativ servis,Yeni Mahalle Mahallesi,,Beykoz,,28266,1,41.01326673253012,29.157119156626507
sxkdt1,41.228943,29.053345,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450.0,İstanbul,,,Marmara Bölgesi,,Sazlıdere Sokak,,Demirciköy Mahallesi,,Sarıyer,,28491,4,41.07751961042184,28.96092865508685
sxk96j,41.03119,28.921509,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34055.0,İstanbul,,,Marmara Bölgesi,,Vatan Caddesi Kavşağı,,Topçular Mahallesi,,Eyüpsultan,,28507,4,41.07751961042184,28.96092865508685
