Name,LATITUDE,LONGITUDE,road,town,county,province,region,postcode,suburb
ÇAĞLAYAN TAKSİ,41.071538606,28.980024159,Vatan Caddesi,Kâğıthane,,İstanbul,Marmara Bölgesi,34403,Çağlayan Mahallesi
EYÜP TAŞOCAĞI TAKSİ,41.060471201,28.9448743990001,Silahtarağa Caddesi,Eyüpsultan,,İstanbul,Marmara Bölgesi,34050,Merkez Mahallesi
GÜNGÖREN ÖZMEN TELSİZ TAKSİ DURAĞI,41.016488101,28.889308199,Barış Sokağı,Güngören,,İstanbul,Marmara Bölgesi,34173,Mehmet Nesih Özmen Mahallesi
BAĞCILAR DEVLET HASTANESİ TAKSİ DURAĞI,41.0299119,28.869402,,Bağcılar,,İstanbul,Marmara Bölgesi,34200,Merkez Mahallesi
BATI ATAŞEHİR MERKEZ TAKSİ DURAĞI,40.9952860010001,29.1043912,Mor Menekşe Sokağı,Ataşehir,,İstanbul,Marmara Bölgesi,34746,Barbaros Mahallesi
GÖZTEPE KAVŞAĞI(GÖZTEPE NİDA KULE KARŞISI) İŞ MERKEZİ KARŞISI,40.990399999,29.0755,Bora Sokağı,Kadıköy,,İstanbul,Marmara Bölgesi,34732,Merdivenköy Mahallesi
2.ULUS TURİZM TAKSİ DURAĞI(BEŞİKTAŞ TURİZM)),41.0714962010001,29.0290517,,Beşiktaş,,İstanbul,Marmara Bölgesi,34340,Nispetiye Mahallesi
DİLAN TAKSİ-1,41.067399999,28.9945,Lati Lokum Sokağı,Şişli,,İstanbul,Marmara Bölgesi,34346,
SULTANAHMET İMRAN ÖKTEM SOKAK UMUMA AÇIK TAKSİ DURAĞI,41.0065802010001,28.9734303,İmran Öktem Caddesi,Fatih,,İstanbul,Marmara Bölgesi,34400,Binbirdirek Mahallesi
AKASYA TAKSİ DURAĞI,41.1108087010001,29.0160484,,Sarıyer,,İstanbul,Marmara Bölgesi,34485,Maslak Mahallesi
BAHÇELIEVLER DEVLET HASTANESI -1,41.0060022010001,28.8452535,Ordu Caddesi,Bahçelievler,,İstanbul,Marmara Bölgesi,34188,Kocasinan Merkez Mahallesi
ATAKÖY TURİZM TAKSİ,40.9789491010001,28.8581347,,Bakırköy,,İstanbul,Marmara Bölgesi,34158,Ataköy 2-5-6. Kısım Mahallesi
HİZMET TAKSİ,40.9619999990001,29.2156,Yakacık Caddesi,Sancaktepe,,İstanbul,Marmara Bölgesi,34885,Fatih Mahallesi
VALİDEBAĞ TAKSİ DURAĞI,41.010041501,29.0419447,Atıfbey Sokağı,Üsküdar,,İstanbul,Marmara Bölgesi,34662,Acıbadem
BOĞAZİÇİ TAKSİ DURAĞI,41.0852052010001,29.0458178,Bodur Sokağı,Beşiktaş,,İstanbul,Marmara Bölgesi,34342,Bebek Mahallesi
Özbal Taksi,41.062100001,29.0011,Vefa Deresi Sokağı,Şişli,,İstanbul,Marmara Bölgesi,34394,Fulya Mahallesi
KARTAL ÇAVUŞOĞLU TAKSİ DURAĞI,40.8897102010001,29.1967103,Kültür Caddesi,Kartal,,İstanbul,Marmara Bölgesi,34873,Çavuşoğlu Mahallesi
KAPTAN TAKSİ,40.970356205,29.084340061,,Kadıköy,,İstanbul,Marmara Bölgesi,34736,19 Mayıs Mahallesi
DEPOSİTE(AVM)  TAKSİ DURAĞI,41.0723,28.8102,,Başakşehir,,İstanbul,Marmara Bölgesi,34490,İkitelli OSB Mahallesi
İSPARK - EMİNÖNÜ  PERONLAR UMUMA AÇIK TAKSİ DURAĞI,41.018200001,28.97,Ragip Gümüşpala Caddesi,Fatih,,İstanbul,Marmara Bölgesi,34116,Rüstempaşa Mahallesi
İSPARK - BEYOĞLU CİHANGİR KATLI OTOPARK ÖNÜ,41.0318105010001,28.986169799,Cihangir Caddesi,Beyoğlu,,İstanbul,Marmara Bölgesi,34427,Cihangir
"İSPARK ÇENGELKÖY YOLU, BOSNA BULVARI",41.047529517,29.0763975740001,Bosna Bulvarı,Üsküdar,,İstanbul,Marmara Bölgesi,34680,Bahçelievler Mahallesi
İSPARK - BAKIRKÖY İSTANBUL CADDESİ,40.978389701,28.8747885,İstanbul Caddesi,Bakırköy,,İstanbul,Marmara Bölgesi,34142,Cevizlik Mahallesi
