Name,LineId,LineName,Description,Order,IsActive,FunctionalCode,Latitude,Longitude,RailType
CAPA-SEHREMINI,11,T1,Çapa-Şehremini,16,,M-T01-S-H-I-16,41.0158833289,28.9320271861,Tramway
FINDIKZADE,11,T1,Fındıkzade,17,True,M-T01-S-H-I-17,41.0117062059472,28.940655673320745,Tramway
HASEKI,11,T1,Haseki,18,,M-T01-S-H-I-18,41.0107098606,28.9442927851,Tramway
YUSUFPASA,11,T1,Yusufpaşa,19,,M-T01-S-H-I-19,41.0099988102,28.9471169908,Tramway
AKSARAY,11,T1,Aksaray,20,,M-T01-S-H-I-20,41.0095939384,28.9538598842,Tramway
LALELI,11,T1,Laleli-İstanbul Ü.,21,,M-T01-S-H-I-21,41.0095870715,28.9597865368,Tramway
BEYAZIT,11,T1,Beyazıt-Kapalıçarşı,22,,M-T01-S-H-I-22,41.0090689647,28.9666944396,Tramway
CEMBERLITAS,11,T1,Çemberlitaş,23,,M-T01-S-H-I-23,41.0084369787,28.9711260369,Tramway
SULTANAHMET,11,T1,Sultanahmet,24,,M-T01-S-H-I-24,41.0080890263,28.9755834871,Tramway
GULHANE,11,T1,Gülhane,25,,M-T01-S-H-I-25,41.0121648083,28.978420569,Tramway
SIRKECI,11,T1,Sirkeci,26,,M-T01-S-H-I-26,41.0151806347,28.9758901555,Tramway
EMINONU,11,T1,Eminönü,27,,M-T01-S-H-I-27,41.0174770208,28.9732097738,Tramway
KARAKOY,11,T1,Karaköy,28,,M-T01-S-H-I-28,41.0221165813,28.9746840227,Tramway
TOPHANE,11,T1,Tophane,29,,M-T01-S-H-I-29,41.026992487,28.9808626704,Tramway
FINDIKLI,11,T1,Fındıklı-Mimar Sinan Ü.,30,,M-T01-S-H-I-30,41.0314551495,28.9894378694,Tramway
KABATAS,11,T1,Kabataş,31,,M-T01-S-H-I-31,41.034195,28.992712,Tramway
MESCID-I SELAM,13,T4,Mescid-i Selam,1,,M-T04-S-H-I-01,41.116218,28.851229,Tramway
CEBECI,13,T4,Cebeci,2,,M-T04-S-H-I-02,41.1119217418,28.8578071487,Tramway
SULTANCIFTLIGI,13,T4,Sultançiftliği,3,,M-T04-S-H-I-03,41.1061320011,28.8606445832,Tramway
YENIMAHALLE,13,T4,Yenimahalle,4,,M-T04-S-H-I-04,41.0998289018,28.8629734333,Tramway
HACI SUKRU,13,T4,Hacı Şükrü,5,,M-T04-S-H-I-05,41.0929087651,28.8640033599,Tramway
50. YIL BASTABYA,13,T4,50.Yıl-Baştabya,6,,M-T04-S-H-I-06,41.08781,28.866925,Tramway
CUMHURIYET MAHALLESI,13,T4,Cumhuriyet Mahallesi,7,,M-T04-S-H-I-07,41.0837494209,28.8723589675,Tramway
KIPTAS-VENEZIA,13,T4,Kiptaş-Venezia,8,True,M-T04-S-H-I-08,41.07985707357942,28.875993057122308,Tramway
KARADENIZ,13,T4,Karadeniz,9,,M-T04-S-H-I-09,41.0752992311,28.8822357296,Tramway
TASKOPRU,13,T4,Taşköprü,10,,M-T04-S-H-I-10,41.0726579715,28.8876475166,Tramway
ALI FUAT BASGIL,13,T4,Ali Fuat Başgil,11,,M-T04-S-H-I-11,41.068493,28.895601,Tramway
BOSNA CUKURCESME,13,T4,Bosna Çukurçeşme,12,,M-T04-S-H-I-12,41.061832,28.902093,Tramway
SAGMALCILAR,13,T4,Sağmalcılar,13,,M-T04-S-H-I-13,41.0572818121,28.9069357644,Tramway
ULUYOL BEREC,13,T4,Uluyol Bereç,14,,M-T04-S-H-I-14,41.0541381814,28.9102461379,Tramway
RAMI,13,T4,Rami,15,,M-T04-S-H-I-15,41.046518,28.915598,Tramway
TOPCULAR,13,T4,Topçular,16,,M-T04-S-H-I-16,41.041546,28.919608,Tramway
DEMIRKAPI,13,T4,Demirkapı,17,,M-T04-S-H-I-17,41.0369881849,28.923366509,Tramway
SEHITLIK,13,T4,Şehitlik,18,,M-T04-S-H-I-18,41.0341823475,28.9282530221,Tramway
EDIRNEKAPI,13,T4,Edirnekapı,19,,M-T04-S-H-I-19,41.0314409253,28.9339710061,Tramway
VATAN,13,T4,Vatan,20,,M-T04-S-H-I-20,41.0256946675,28.9293559649,Tramway
FETIHKAPI,13,T4,Fetihkapı,21,,M-T04-S-H-I-21,41.021825006,28.9253344699,Tramway
TOPKAPI,13,T4,Topkapı,22,,M-T04-S-H-I-22,41.0192295429,28.9194470285,Tramway
ATATURK HAVALIMANI,9,M1A,Atatürk Havalimanı,1,,M-M1A-S-H-I-01,40.9795429431,28.8211244027,Metro
DTM - ISTANBUL FUAR MERKEZI,9,M1A,DTM-İstanbul Fuar Merkezi,2,,M-M1A-S-H-I-02,40.9866455145,28.8285503243,Metro
YENIBOSNA,9,M1A,Yenibosna,3,,M-M1A-S-H-I-03,40.9893149835,28.8367043004,Metro
ATAKOY,9,M1A,Ataköy-Şirinevler,4,,M-M1A-S-H-I-04,40.9913500997,28.846082309,Metro
BAHCELIEVLER,9,M1A,Bahçelievler,5,,M-M1A-S-H-I-05,40.9953532384,28.8630661969,Metro
BAKIRKOY - INCIRLI,9,M1A,Bakırköy-İncirli,6,,M-M1A-S-H-I-06,40.9966121333,28.8753997556,Metro
ZEYTINBURNU,9,M1A,Zeytinburnu,7,,M-M1A-S-H-I-07,41.0017008338,28.8896520683,Metro
MERTER,9,M1A,Merter,8,,M-M1A-S-H-I-08,41.0076458753,28.8961771147,Metro
DAVUTPASA,9,M1A,Davutpaşa-YTÜ,9,,M-M1A-S-H-I-09,41.0206387059,28.9001417888,Metro
TERAZIDERE,9,M1A,Terazidere,10,,M-M1A-S-H-I-10,41.0303317032,28.8979522419,Metro
KOCATEPE,9,M1A,Kocatepe,12,,M-M1A-S-H-I-12,41.0484928183,28.8953862076,Metro
SAGMALCILAR,9,M1A,Sağmalcılar,13,,M-M1A-S-H-I-13,41.0408544497,28.9072352877,Metro
BAYRAMPASA,9,M1A,Bayrampaşa-Maltepe,14,,M-M1A-S-H-I-14,41.0340978572,28.920238689,Metro
ULUBATLI,9,M1A,Topkapı-Ulubatlı,15,,M-M1A-S-H-I-15,41.0240250582,28.9305034257,Metro
EMNIYET,9,M1A,Emniyet-Fatih,16,,M-M1A-S-H-I-16,41.0176115439,28.9395963977,Metro
AKSARAY,9,M1A,Aksaray,17,,M-M1A-S-H-I-17,41.0120281897,28.9480625565,Metro
YENIKAPI,9,M1A,Yenikapı,18,,M-M1A-S-H-I-18,41.004755,28.952549,Metro
USKUDAR,5,M5,Üsküdar,1,,M-M05-S-H-I-01,41.025618259645256,29.015061927581854,Metro
FISTIKAGACI,5,M5,Fıstıkağacı,2,,M-M05-S-H-I-02,41.028174185609586,29.028549998040898,Metro
BAGLARBASI,5,M5,Bağlarbaşı,3,,M-M05-S-H-I-03,41.02148576285262,29.035391369205474,Metro
ALTUNIZADE,5,M5,Altunizade,4,,M-M05-S-H-I-04,41.02256927368503,29.045163182699945,Metro
KISIKLI,5,M5,Kısıklı,5,,M-M05-S-H-I-05,41.02223769603908,29.062589925029574,Metro
BULGURLU,5,M5,Bulgurlu,6,,M-M05-S-H-I-06,41.016382220485276,29.07613191178137,Metro
UMRANIYE,5,M5,Ümraniye,7,,M-M05-S-H-I-07,41.02475044117759,29.084914619850238,Metro
CARSI,5,M5,Çarşı,8,,M-M05-S-H-I-08,41.025898812622515,29.097186268407956,Metro
YAMANEVLER,5,M5,Yamanevler,9,,M-M05-S-H-I-09,41.02436045931574,29.10893285940382,Metro
CAKMAK,5,M5,Çakmak,10,,M-M05-S-H-I-10,41.021651794492854,29.11831687527492,Metro
IHLAMURKUYU,5,M5,Ihlamurkuyu,11,,M-M05-S-H-I-11,41.0193938740756,29.13128274037028,Metro
ALTINSEHIR,5,M5,Altınşehir,12,,M-M05-S-H-I-12,41.01682949821649,29.138624552588546,Metro
IMAM HATIP LISESI,5,M5,İmam Hatip Lisesi,13,,M-M05-S-H-I-13,41.016188074469916,29.15243635386462,Metro
DUDULLU,5,M5,Dudullu,14,,M-M05-S-H-I-14,41.01544045560607,29.16244635386456,Metro
NECIP FAZIL,5,M5,Necip Fazıl,15,,M-M05-S-H-I-15,41.01620878613601,29.17929437105173,Metro
CEKMEKOY-SANCAKTEPE,5,M5,Çekmeköy,16,,M-M05-S-H-I-16,41.01456617003643,29.189447811535,Metro
LEVENT,6,M6,Levent,1,,M-M06-S-H-I-01,41.075888,29.014142,Metro
NISPETIYE,6,M6,Nispetiye,2,,M-M06-S-H-I-02,41.077692,29.022356,Metro
ETILER,6,M6,Etiler,3,,M-M06-S-H-I-03,41.082395,29.037593,Metro
HISARUSTU-BOGAZICI UNIVERSITESI,6,M6,Boğaziçi Ü.-Hisarüstü,4,,M-M06-S-H-I-04,41.085278,29.045519,Metro
YILDIZ,7,M7,Yıldız,3,True,M-M07-S-H-I-03,41.055457368403594,29.009803051316943,Metro
FULYA,7,M7,Fulya,4,True,M-M07-S-H-I-04,41.0619540753492,29.007236307110315,Metro
MECIDIYEKOY,7,M7,Mecidiyeköy,5,,M-M07-S-H-I-05,41.0661411,28.9945802,Metro
CAGLAYAN,7,M7,Çağlayan,6,True,M-M07-S-H-I-06,41.07124,28.9797905,Metro
KAGITHANE,7,M7,Kağıthane,7,True,M-M07-S-H-I-07,41.0799698,28.9722495,Metro
NURTEPE,7,M7,Nurtepe,8,True,M-M07-S-H-I-08,41.0796403,28.9629489,Metro
ALIBEYKOY,7,M7,Alibeyköy,9,True,M-M07-S-H-I-09,41.0791702,28.9493602,Metro
CIRCIR,7,M7,Çırçır,10,True,M-M07-S-H-I-10,41.07985,28.93762,Metro
VEYSEL KARANI,7,M7,Veysel Karani-Akşemsettin,11,True,M-M07-S-H-I-11,41.0796898,28.9295594,Metro
YESILPINAR,7,M7,Yeşilpınar,12,True,M-M07-S-H-I-12,41.0799901,28.9352699,Metro
KAZIM KARABEKIR,7,M7,Kazım Karabekir,13,True,M-M07-S-H-I-13,41.0854599,28.9085497,Metro
YENIMAHALLE,7,M7,Yenimahalle,14,True,M-M07-S-H-I-14,41.0837182,28.8931096,Metro
