STATION_CODE,STATION_NAME,DISTRICT,DIRECTION,STOP_TYPE,LATITUDE,LONGITUDE
209342,ESKİCİBAG CADDESİ,Maltepe,BASIBÜYÜK,İETTBAYRAK,40.9606330005476,29.1567129999924
200152,SARUHAN CAMİİ,Sancaktepe,YENIDOGAN 11G,İETTBAYRAK,41.0214210005573,29.2504529999934
212982,BARBAROS HAYRETTİNPAŞA CADDESİ,Pendik,EVLIYA ÇELEBI CADDES,İETTCAMLI,40.9044130005387,29.2686719999938
900371,HARAMİDERE SANAYİ,Esenyurt,TÜYAP,ISTASYON,41.0041672986181,28.6854906754828
129952,YAVUZ SULTAN SELİM ,Beylikdüzü,GÜRPINAR,İSTON GENİŞ,41.0004560005532,28.6256379999703
107573,ÇARDAKTEPE,Arnavutköy,IMRAHOR,İETTBAYRAK,41.2053580005865,28.728832999978
104701,KOCATEPE ,Beylikdüzü,DEREAGZI MAH.,İETTCAMLI,40.9755629991169,28.6599370000042
116441,ORTA CAMİİ,Sariyer,KAZIM KARABEKIR,İETTBAYRAK,41.1596959819248,29.0264119605187
201782,KAVAKLIK,Sancaktepe,VEYSEL KARANI,İETTBAYRAK,40.9894349991171,29.2508670000097
128902,MARİN GEÇİT,Büyükçekmece,SILIVRI,İETTBAYRAK,41.0384110005583,28.4344729999418
108533,ŞİRİNDERE,Arnavutköy,ARNAVUTKÖY,İETTCAMLI,41.1862870005834,28.7572129999799
117742,NURTEPE-VİYADÜK,Eyüpsultan,4.LEVENT,CCMODERN,41.076654000566,28.9587839999884
222602,TURGUT REİS,Sultanbeyli,ÜMRANIYE,CCMODERN,40.9641110005482,29.2829019999939
109062,B. BLOK,Arnavutköy,ARNAVUTKÖY,İETTCAMLI,41.2074360005868,28.7115629999768
228502,SEYRANTEPE,Kartal,TOPSELVI,AÇIK DURAK,40.9098119592601,29.1740149901954
108432,AYAZMA,Arnavutköy,BOGAZKÖY,AÇIK DURAK,41.1854190005833,28.7649329999803
132512,SAVAKLAR CADDESİ,Eyüpsultan,EYÜP,AÇIK DURAK,41.0338330005591,28.9378969999879
222822,BODRUMİ CAMİİ,Üsküdar,BULGURLU,İETTBAYRAK,41.0116350005557,29.0665329999909
102221,CUMHURİYET CADDESİ,Basaksehir,KAYASEHIR,İETTBAYRAK,41.0866310005671,28.7506219999794
105322,BOSNA ÇUKURÇEŞME,Gaziosmanpasa,SULTANÇIFTLIGI,CCMODERNDR,41.0629680005637,28.9016649999867
108852,SEKİZEVLER,Sultangazi,ZÜBEYDE HANIM MAH.,İETTBAYRAK,41.1020145330384,28.9126424401817
132341,PINARBAŞI YOLU,Sariyer,SON DURAK(SARITEPE),İETTBAYRAK,41.2335599692499,28.995114995368
126111,PAZAR YOLU,Küçükçekmece,K.ÇEKMECE-ÇINAR SIT.,İETTBAYRAK,40.9942520005525,28.7677879999812
207241,YUNUS CADDESİ,Kartal,TOPSELVI,CCMODERN,40.8869370005359,29.2165179999933
401191,KARTAL,Kartal,1. PERON,CCMODERN,40.8864550005359,29.193751999993
109452,AHMET YESEVİ CADDESİ,Arnavutköy,BOGAZKÖY,İETTBAYRAK,41.1875100005836,28.7542399999797
202252,AHMETLİ KÖYÜ SAPAĞI,Sile,SILE,CCMODERN,41.1540280005787,29.5896879999964
221911,PLAJ CADDESİ,Beykoz,BEYKOZ,AÇIK DURAK,41.2014570353495,29.1350110068547
218261,FETİH SOKAK,Sancaktepe,ÜSKÜDAR,İETTBAYRAK,40.9611100005477,29.2162379999931
